#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 17156 b | 2456029.7260 | 21.21660 | 0.00043 | 14757.012 | 0.039 | 0.6738 | 0.0047 | 121.84 | 0.34 | 272.7 | 3.5 | 12.0 | 1.0 | 0.0 | 0.0 |   14761.5761
#RA | DEC | T14 | UT14 | V
02 49 44.318 | +71 45 11.92 |      0.133750 |    0.00333000 |       8.17000
#Ephemerides calculated on: Thu Mar 29 17:54:22 2012
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456029.72605 |    0.04382 | 2456034.66891 |    0.08373 |        12 April 2012 05:25:30.40 +/-    0 days  1:03: 5.647  |       17 April 2012 04:03:13.68 +/-    0 days  2:00:34.489
2456050.94265 |    0.04408 | 2456055.88551 |    0.08375 |           3 May 2012 10:37:24.61 +/-    0 days  1:03:28.199  |          8 May 2012 09:15:07.90 +/-    0 days  2:00:35.725
2456072.15925 |    0.04433 | 2456077.10211 |    0.08378 |          24 May 2012 15:49:18.83 +/-    0 days  1:03:49.949  |         29 May 2012 14:27:02.11 +/-    0 days  2:00:38.978
2456093.37585 |    0.04460 | 2456098.31871 |    0.08383 |         14 June 2012 21:01:13.05 +/-    0 days  1:04:13.651  |        19 June 2012 19:38:56.33 +/-    0 days  2:00:42.758
2456114.59245 |    0.04488 | 2456119.53531 |    0.08386 |          6 July 2012 02:13:07.27 +/-    0 days  1:04:37.459  |        11 July 2012 00:50:50.55 +/-    0 days  2:00:45.841
2456135.80904 |    0.04515 | 2456140.75191 |    0.08389 |         27 July 2012 07:25:01.48 +/-    0 days  1:05: 1.285  |       1 August 2012 06:02:44.77 +/-    0 days  2:00:48.104
2456157.02564 |    0.04543 | 2456161.96851 |    0.08394 |       17 August 2012 12:36:55.70 +/-    0 days  1:05:25.127  |      22 August 2012 11:14:38.98 +/-    0 days  2:00:52.256
2456178.24224 |    0.04571 | 2456183.18511 |    0.08398 |     7 September 2012 17:48:49.92 +/-    0 days  1:05:49.505  |   12 September 2012 16:26:33.20 +/-    0 days  2:00:55.499
2456199.45884 |    0.04599 | 2456204.40171 |    0.08400 |    28 September 2012 23:00:44.14 +/-    0 days  1:06:13.347  |      3 October 2012 21:38:27.42 +/-    0 days  2:00:58.000
2456220.67544 |    0.04627 | 2456225.61831 |    0.08404 |      20 October 2012 04:12:38.36 +/-    0 days  1:06:37.875  |     25 October 2012 02:50:21.64 +/-    0 days  2:01: 0.720
2456241.89204 |    0.04656 | 2456246.83491 |    0.08407 |     10 November 2012 09:24:32.57 +/-    0 days  1:07: 3.187  |    15 November 2012 08:02:15.86 +/-    0 days  2:01: 3.788
2456263.10864 |    0.04684 | 2456268.05151 |    0.08412 |      1 December 2012 14:36:26.79 +/-    0 days  1:07:27.274  |     6 December 2012 13:14:10.07 +/-    0 days  2:01: 8.028
2456284.32524 |    0.04711 | 2456289.26811 |    0.08418 |     22 December 2012 19:48:21.01 +/-    0 days  1:07:50.668  |    27 December 2012 18:26:04.29 +/-    0 days  2:01:12.800
2456305.54184 |    0.04740 | 2456310.48470 |    0.08423 |      13 January 2013 01:00:15.23 +/-    0 days  1:08:14.952  |     17 January 2013 23:37:58.51 +/-    0 days  2:01:17.570
2456326.75844 |    0.04769 | 2456331.70130 |    0.08428 |      3 February 2013 06:12:09.44 +/-    0 days  1:08:40.771  |     8 February 2013 04:49:52.73 +/-    0 days  2:01:22.059
2456347.97504 |    0.04799 | 2456352.91790 |    0.08435 |     24 February 2013 11:24:03.66 +/-    0 days  1:09: 6.279  |        1 March 2013 10:01:46.94 +/-    0 days  2:01:27.451
2456369.19164 |    0.04829 | 2456374.13450 |    0.08440 |        17 March 2013 16:35:57.88 +/-    0 days  1:09:32.532  |       22 March 2013 15:13:41.16 +/-    0 days  2:01:32.170
2456390.40824 |    0.04861 | 2456395.35110 |    0.08446 |         7 April 2013 21:47:52.10 +/-    0 days  1:09:59.586  |       12 April 2013 20:25:35.38 +/-    0 days  2:01:37.366
2456411.62484 |    0.04892 | 2456416.56770 |    0.08453 |        29 April 2013 02:59:46.32 +/-    0 days  1:10:26.893  |          4 May 2013 01:37:29.60 +/-    0 days  2:01:43.779
2456432.84144 |    0.04921 | 2456437.78430 |    0.08459 |          20 May 2013 08:11:40.53 +/-    0 days  1:10:51.753  |         25 May 2013 06:49:23.82 +/-    0 days  2:01:48.810
2456454.05804 |    0.04951 | 2456459.00090 |    0.08466 |         10 June 2013 13:23:34.75 +/-    0 days  1:11:17.936  |        15 June 2013 12:01:18.03 +/-    0 days  2:01:54.759
2456475.27464 |    0.04983 | 2456480.21750 |    0.08472 |          1 July 2013 18:35:28.97 +/-    0 days  1:11:45.692  |         6 July 2013 17:13:12.25 +/-    0 days  2:01:59.811
2456496.49124 |    0.05014 | 2456501.43410 |    0.08478 |         22 July 2013 23:47:23.19 +/-    0 days  1:12:12.275  |        27 July 2013 22:25:06.47 +/-    0 days  2:02: 5.182
2456517.70784 |    0.05044 | 2456522.65070 |    0.08486 |       13 August 2013 04:59:17.40 +/-    0 days  1:12:38.232  |      18 August 2013 03:37:00.69 +/-    0 days  2:02:11.510
2456538.92444 |    0.05076 | 2456543.86730 |    0.08492 |     3 September 2013 10:11:11.62 +/-    0 days  1:13: 5.745  |    8 September 2013 08:48:54.91 +/-    0 days  2:02:17.364
2456560.14104 |    0.05107 | 2456565.08390 |    0.08498 |    24 September 2013 15:23:05.84 +/-    0 days  1:13:32.502  |   29 September 2013 14:00:49.12 +/-    0 days  2:02:22.549
2456581.35764 |    0.05138 | 2456586.30050 |    0.08507 |      15 October 2013 20:35:00.06 +/-    0 days  1:13:58.809  |     20 October 2013 19:12:43.34 +/-    0 days  2:02:30.285
2456602.57424 |    0.05169 | 2456607.51710 |    0.08515 |      6 November 2013 01:46:54.28 +/-    0 days  1:14:25.924  |    11 November 2013 00:24:37.56 +/-    0 days  2:02:36.997
2456623.79084 |    0.05201 | 2456628.73370 |    0.08523 |     27 November 2013 06:58:48.49 +/-    0 days  1:14:53.458  |     2 December 2013 05:36:31.78 +/-    0 days  2:02:43.812
2456645.00744 |    0.05233 | 2456649.95030 |    0.08531 |     18 December 2013 12:10:42.71 +/-    0 days  1:15:21.055  |    23 December 2013 10:48:25.99 +/-    0 days  2:02:51.099
2456666.22404 |    0.05264 | 2456671.16690 |    0.08539 |       8 January 2014 17:22:36.93 +/-    0 days  1:15:48.246  |     13 January 2014 16:00:20.21 +/-    0 days  2:02:57.659
2456687.44064 |    0.05297 | 2456692.38350 |    0.08546 |      29 January 2014 22:34:31.15 +/-    0 days  1:16:16.957  |     3 February 2014 21:12:14.43 +/-    0 days  2:03: 3.809
2456708.65724 |    0.05330 | 2456713.60010 |    0.08555 |     20 February 2014 03:46:25.37 +/-    0 days  1:16:45.196  |    25 February 2014 02:24:08.65 +/-    0 days  2:03:11.760
2456729.87384 |    0.05363 | 2456734.81670 |    0.08567 |        13 March 2014 08:58:19.58 +/-    0 days  1:17:13.247  |       18 March 2014 07:36:02.87 +/-    0 days  2:03:21.459
2456751.09044 |    0.05395 | 2456756.03330 |    0.08577 |         3 April 2014 14:10:13.80 +/-    0 days  1:17:40.946  |        8 April 2014 12:47:57.08 +/-    0 days  2:03:30.509
2456772.30704 |    0.05428 | 2456777.24990 |    0.08584 |        24 April 2014 19:22:08.02 +/-    0 days  1:18:10.164  |       29 April 2014 17:59:51.30 +/-    0 days  2:03:36.794
2456793.52364 |    0.05461 | 2456798.46650 |    0.08594 |          16 May 2014 00:34:02.24 +/-    0 days  1:18:38.616  |         20 May 2014 23:11:45.52 +/-    0 days  2:03:45.386
