#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 102117 b | 2456340.3744 | 20.8010 | 0.0060 | 10942.6 | 2.0 | 0.069 | 0.033 | 272 | 33 | 10.79 | 0.38 | 1 | 47 | 0.0 | 0.0 |   10941.7946
#RA | DEC | T14 | UT14 | V
11 44 50.532 | -58 42 12.74 |           NaN |       0.00000 |       7.47000
#Ephemerides calculated on: Tue Feb 12 16:26:24 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456340.37438 |    0.98078 | 2456350.79927 |    1.00132 |     16 February 2013 20:59:06.07 +/-    0 days 23:32:19.021  |    27 February 2013 07:10:56.60 +/-    1 days  0:01:54.114
2456361.17533 |    0.98637 | 2456371.60022 |    1.00708 |         9 March 2013 16:12:28.64 +/-    0 days 23:40:22.663  |       20 March 2013 02:24:19.17 +/-    1 days  0:10:12.095
2456381.97629 |    0.99203 | 2456392.40118 |    1.01285 |        30 March 2013 11:25:51.21 +/-    0 days 23:48:31.012  |        9 April 2013 21:37:41.74 +/-    1 days  0:18:30.289
2456402.77724 |    0.99769 | 2456413.20213 |    1.01863 |        20 April 2013 06:39:13.78 +/-    0 days 23:56:40.093  |       30 April 2013 16:51:04.31 +/-    1 days  0:26:49.316
2456423.57820 |    1.00331 | 2456434.00309 |    1.02436 |          11 May 2013 01:52:36.35 +/-    1 days  0:04:45.720  |         21 May 2013 12:04:26.88 +/-    1 days  0:35: 5.131
2456444.37915 |    1.00897 | 2456454.80404 |    1.03010 |          31 May 2013 21:05:58.92 +/-    1 days  0:12:55.038  |        11 June 2013 07:17:49.45 +/-    1 days  0:43:20.429
2456465.18011 |    1.01462 | 2456475.60500 |    1.03592 |         21 June 2013 16:19:21.49 +/-    1 days  0:21: 2.984  |         2 July 2013 02:31:12.02 +/-    1 days  0:51:43.245
2456485.98107 |    1.02034 | 2456496.40596 |    1.04162 |         12 July 2013 11:32:44.06 +/-    1 days  0:29:17.095  |        22 July 2013 21:44:34.59 +/-    1 days  0:59:56.269
2456506.78202 |    1.02600 | 2456517.20691 |    1.04739 |        2 August 2013 06:46:06.63 +/-    1 days  0:37:25.982  |      12 August 2013 16:57:57.16 +/-    1 days  1:08:14.180
2456527.58298 |    1.03166 | 2456538.00787 |    1.05317 |       23 August 2013 01:59:29.20 +/-    1 days  0:45:35.255  |    2 September 2013 12:11:19.73 +/-    1 days  1:16:33.479
2456548.38393 |    1.03739 | 2456558.80882 |    1.05893 |    12 September 2013 21:12:51.77 +/-    1 days  0:53:50.457  |   23 September 2013 07:24:42.30 +/-    1 days  1:24:51.545
2456569.18489 |    1.04307 | 2456579.60978 |    1.06470 |       3 October 2013 16:26:14.33 +/-    1 days  1:02: 1.400  |     14 October 2013 02:38:04.87 +/-    1 days  1:33:10.298
2456589.98584 |    1.04873 | 2456600.41073 |    1.07051 |      24 October 2013 11:39:36.90 +/-    1 days  1:10:10.098  |     3 November 2013 21:51:27.44 +/-    1 days  1:41:32.251
2456610.78680 |    1.05453 | 2456621.21169 |    1.07635 |     14 November 2013 06:52:59.47 +/-    1 days  1:18:31.625  |    24 November 2013 17:04:50.01 +/-    1 days  1:49:56.537
2456631.58776 |    1.06039 | 2456642.01265 |    1.08217 |      5 December 2013 02:06:22.04 +/-    1 days  1:26:57.378  |    15 December 2013 12:18:12.58 +/-    1 days  1:58:19.349
2456652.38871 |    1.06615 | 2456662.81360 |    1.08789 |     25 December 2013 21:19:44.61 +/-    1 days  1:35:15.159  |      5 January 2014 07:31:35.15 +/-    1 days  2:06:33.792
2456673.18967 |    1.07189 | 2456683.61456 |    1.09363 |      15 January 2014 16:33:07.18 +/-    1 days  1:43:31.550  |     26 January 2014 02:44:57.72 +/-    1 days  2:14:49.354
2456693.99062 |    1.07763 | 2456704.41551 |    1.09942 |      5 February 2014 11:46:29.75 +/-    1 days  1:51:47.298  |    15 February 2014 21:58:20.29 +/-    1 days  2:23: 9.674
2456714.79158 |    1.08337 | 2456725.21647 |    1.10526 |     26 February 2014 06:59:52.32 +/-    1 days  2:00: 3.455  |        8 March 2014 17:11:42.85 +/-    1 days  2:31:34.784
2456735.59253 |    1.08913 | 2456746.01742 |    1.11107 |        19 March 2014 02:13:14.89 +/-    1 days  2:08:21.183  |       29 March 2014 12:25:05.42 +/-    1 days  2:39:56.731
2456756.39349 |    1.09482 | 2456766.81838 |    1.11688 |         8 April 2014 21:26:37.46 +/-    1 days  2:16:32.783  |       19 April 2014 07:38:27.99 +/-    1 days  2:48:18.725
