#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 117618 b | 2456348.5137 | 25.825 | 0.014 | 10832.4 | 1.5 | 0.383 | 0.096 | 252 | 18 | 12500 | 1400 | 0 | 810 | 0.0 | 0.0 |   10832.6288
#RA | DEC | T14 | UT14 | V
13 32 25.534 | -47 16 15.82 |           NaN |       0.00000 |       7.17000
#Ephemerides calculated on: Tue Feb 12 16:49:57 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456348.51374 |    2.62342 | 2456359.36077 |    2.22410 |     25 February 2013 00:19:46.99 +/-    2 days 14:57:43.062  |        7 March 2013 20:39:30.49 +/-    2 days  5:22:42.603
2456374.33825 |    2.63525 | 2456385.18528 |    2.23776 |        22 March 2013 20:07:04.66 +/-    2 days 15:14:45.693  |        2 April 2013 16:26:48.16 +/-    2 days  5:42:22.532
2456400.16276 |    2.64702 | 2456411.00979 |    2.25127 |        17 April 2013 15:54:22.33 +/-    2 days 15:31:42.389  |       28 April 2013 12:14:05.83 +/-    2 days  6:01:49.685
2456425.98727 |    2.65866 | 2456436.83430 |    2.26474 |          13 May 2013 11:41:39.00 +/-    2 days 15:48:28.293  |         24 May 2013 08:01:23.50 +/-    2 days  6:21:13.173
2456451.81178 |    2.67045 | 2456462.65881 |    2.27822 |          8 June 2013 07:28:57.67 +/-    2 days 16:05:26.935  |        19 June 2013 03:48:41.17 +/-    2 days  6:40:37.781
2456477.63629 |    2.68190 | 2456488.48332 |    2.29188 |          4 July 2013 03:16:15.34 +/-    2 days 16:21:55.944  |        14 July 2013 23:35:58.84 +/-    2 days  7:00:18.762
2456503.46080 |    2.69353 | 2456514.30783 |    2.30540 |         29 July 2013 23:03:33.01 +/-    2 days 16:38:41.058  |       9 August 2013 19:23:16.50 +/-    2 days  7:19:46.367
2456529.28531 |    2.70548 | 2456540.13234 |    2.31908 |       24 August 2013 18:50:50.68 +/-    2 days 16:55:53.724  |    4 September 2013 15:10:34.17 +/-    2 days  7:39:28.710
2456555.10982 |    2.71755 | 2456565.95685 |    2.33282 |    19 September 2013 14:38:08.35 +/-    2 days 17:13:16.716  |   30 September 2013 10:57:51.84 +/-    2 days  7:59:15.525
2456580.93433 |    2.72918 | 2456591.78136 |    2.34644 |      15 October 2013 10:25:26.01 +/-    2 days 17:30: 1.391  |     26 October 2013 06:45:09.51 +/-    2 days  8:18:52.668
2456606.75884 |    2.74074 | 2456617.60587 |    2.36010 |     10 November 2013 06:12:43.68 +/-    2 days 17:46:39.981  |    21 November 2013 02:32:27.18 +/-    2 days  8:38:32.973
2456632.58335 |    2.75233 | 2456643.43038 |    2.37368 |      6 December 2013 02:00:01.35 +/-    2 days 18:03:21.269  |    16 December 2013 22:19:44.85 +/-    2 days  8:58: 6.152
2456658.40786 |    2.76433 | 2456669.25489 |    2.38748 |     31 December 2013 21:47:19.02 +/-    2 days 18:20:38.125  |     11 January 2014 18:07:02.52 +/-    2 days  9:17:57.850
2456684.23237 |    2.77628 | 2456695.07940 |    2.40127 |      26 January 2014 17:34:36.69 +/-    2 days 18:37:50.673  |     6 February 2014 13:54:20.19 +/-    2 days  9:37:49.653
2456710.05688 |    2.78837 | 2456720.90391 |    2.41523 |     21 February 2014 13:21:54.36 +/-    2 days 18:55:15.307  |        4 March 2014 09:41:37.86 +/-    2 days  9:57:55.976
2456735.88139 |    2.80060 | 2456746.72842 |    2.42888 |        19 March 2014 09:09:12.03 +/-    2 days 19:12:51.502  |       30 March 2014 05:28:55.53 +/-    2 days 10:17:34.951
2456761.70590 |    2.81273 | 2456772.55293 |    2.44250 |        14 April 2014 04:56:29.70 +/-    2 days 19:30:19.703  |       25 April 2014 01:16:13.20 +/-    2 days 10:37:12.242
2456787.53041 |    2.82482 | 2456798.37744 |    2.45633 |          10 May 2014 00:43:47.37 +/-    2 days 19:47:44.193  |         20 May 2014 21:03:30.86 +/-    2 days 10:57: 6.760
2456813.35492 |    2.83693 | 2456824.20195 |    2.47015 |          4 June 2014 20:31:05.04 +/-    2 days 20:05:10.465  |        15 June 2014 16:50:48.53 +/-    2 days 11:17: 0.666
2456839.17943 |    2.84929 | 2456850.02646 |    2.48387 |         30 June 2014 16:18:22.71 +/-    2 days 20:22:58.268  |        11 July 2014 12:38:06.20 +/-    2 days 11:36:46.749
2456865.00394 |    2.86147 | 2456875.85097 |    2.49763 |         26 July 2014 12:05:40.38 +/-    2 days 20:40:31.328  |       6 August 2014 08:25:23.87 +/-    2 days 11:56:34.948
2456890.82845 |    2.87383 | 2456901.67548 |    2.51122 |       21 August 2014 07:52:58.04 +/-    2 days 20:58:19.242  |    1 September 2014 04:12:41.54 +/-    2 days 12:16: 9.564
2456916.65296 |    2.88611 | 2456927.49999 |    2.52494 |    16 September 2014 03:40:15.71 +/-    2 days 21:15:59.511  |   26 September 2014 23:59:59.21 +/-    2 days 12:35:54.448
2456942.47747 |    2.89828 | 2456953.32450 |    2.53868 |      11 October 2014 23:27:33.38 +/-    2 days 21:33:31.771  |     22 October 2014 19:47:16.88 +/-    2 days 12:55:41.800
2456968.30198 |    2.91057 | 2456979.14901 |    2.55248 |      6 November 2014 19:14:51.05 +/-    2 days 21:51:13.553  |    17 November 2014 15:34:34.55 +/-    2 days 13:15:34.346
2456994.12649 |    2.92304 | 2457004.97352 |    2.56629 |      2 December 2014 15:02:08.72 +/-    2 days 22:09:11.041  |    13 December 2014 11:21:52.22 +/-    2 days 13:35:27.178
2457019.95100 |    2.93551 | 2457030.79803 |    2.58023 |     28 December 2014 10:49:26.39 +/-    2 days 22:27: 7.971  |      8 January 2015 07:09:09.89 +/-    2 days 13:55:31.841
2457045.77551 |    2.94793 | 2457056.62254 |    2.59419 |      23 January 2015 06:36:44.06 +/-    2 days 22:45: 1.151  |     3 February 2015 02:56:27.56 +/-    2 days 14:15:38.226
2457071.60002 |    2.96054 | 2457082.44705 |    2.60797 |     18 February 2015 02:24:01.73 +/-    2 days 23:03:10.533  |    28 February 2015 22:43:45.23 +/-    2 days 14:35:28.478
2457097.42453 |    2.97285 | 2457108.27156 |    2.62160 |        15 March 2015 22:11:19.40 +/-    2 days 23:20:54.538  |       26 March 2015 18:31:02.89 +/-    2 days 14:55: 6.663
2457123.24904 |    2.98515 | 2457134.09607 |    2.63543 |        10 April 2015 17:58:37.07 +/-    2 days 23:38:37.109  |       21 April 2015 14:18:20.56 +/-    2 days 15:15: 0.999
2457149.07355 |    2.99755 | 2457159.92058 |    2.64937 |           6 May 2015 13:45:54.74 +/-    2 days 23:56:28.202  |         17 May 2015 10:05:38.23 +/-    2 days 15:35: 5.203
2457174.89806 |    3.01005 | 2457185.74509 |    2.66319 |          1 June 2015 09:33:12.40 +/-    3 days  0:14:28.453  |        12 June 2015 05:52:55.90 +/-    2 days 15:54:59.647
2457200.72257 |    3.02230 | 2457211.56960 |    2.67690 |         27 June 2015 05:20:30.07 +/-    3 days  0:32: 7.128  |         8 July 2015 01:40:13.57 +/-    2 days 16:14:43.919
