#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 130322 b | 2456381.5261 | 10.70902 | 0.00023 | 13996.5 | 1.5 | 0.018 | 0.020 | 195 | 50 | 109.7 | 3.1 | -25.6 | 2.4 | 0.0 | 0.0 |   13998.6874
#RA | DEC | T14 | UT14 | V
14 47 32.802 | -00 16 52.08 |           NaN |       0.00000 |       8.04000
#Ephemerides calculated on: Thu Mar 21 15:54:53 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456381.52611 |    0.09582 | 2456386.76098 |    0.09140 |        30 March 2013 00:37:35.88 +/-    0 days  2:17:58.893  |        4 April 2013 06:15:48.77 +/-    0 days  2:11:37.205
2456392.23512 |    0.09595 | 2456397.47000 |    0.09152 |         9 April 2013 17:38:34.78 +/-    0 days  2:18: 9.730  |       14 April 2013 23:16:47.67 +/-    0 days  2:11:46.905
2456402.94414 |    0.09607 | 2456408.17901 |    0.09162 |        20 April 2013 10:39:33.68 +/-    0 days  2:18:20.125  |       25 April 2013 16:17:46.57 +/-    0 days  2:11:56.341
2456413.65315 |    0.09619 | 2456418.88803 |    0.09174 |           1 May 2013 03:40:32.59 +/-    0 days  2:18:30.552  |          6 May 2013 09:18:45.47 +/-    0 days  2:12: 6.008
2456424.36217 |    0.09632 | 2456429.59704 |    0.09185 |          11 May 2013 20:41:31.49 +/-    0 days  2:18:42.025  |         17 May 2013 02:19:44.37 +/-    0 days  2:12:15.925
2456435.07119 |    0.09646 | 2456440.30606 |    0.09197 |          22 May 2013 13:42:30.39 +/-    0 days  2:18:54.012  |         27 May 2013 19:20:43.27 +/-    0 days  2:12:26.199
2456445.78020 |    0.09659 | 2456451.01507 |    0.09209 |          2 June 2013 06:43:29.29 +/-    0 days  2:19: 5.372  |         7 June 2013 12:21:42.18 +/-    0 days  2:12:36.499
2456456.48922 |    0.09672 | 2456461.72409 |    0.09220 |         12 June 2013 23:44:28.19 +/-    0 days  2:19:16.365  |        18 June 2013 05:22:41.08 +/-    0 days  2:12:46.424
2456467.19823 |    0.09685 | 2456472.43310 |    0.09232 |         23 June 2013 16:45:27.09 +/-    0 days  2:19:27.716  |        28 June 2013 22:23:39.98 +/-    0 days  2:12:56.758
2456477.90725 |    0.09699 | 2456483.14212 |    0.09245 |          4 July 2013 09:46:25.99 +/-    0 days  2:19:39.623  |         9 July 2013 15:24:38.88 +/-    0 days  2:13: 7.292
2456488.61626 |    0.09713 | 2456493.85113 |    0.09256 |         15 July 2013 02:47:24.89 +/-    0 days  2:19:51.740  |        20 July 2013 08:25:37.78 +/-    0 days  2:13:17.098
2456499.32528 |    0.09727 | 2456504.56015 |    0.09268 |         25 July 2013 19:48:23.80 +/-    0 days  2:20: 3.952  |        31 July 2013 01:26:36.68 +/-    0 days  2:13:27.609
2456510.03429 |    0.09741 | 2456515.26916 |    0.09280 |        5 August 2013 12:49:22.70 +/-    0 days  2:20:16.347  |      10 August 2013 18:27:35.58 +/-    0 days  2:13:38.117
2456520.74331 |    0.09758 | 2456525.97818 |    0.09292 |       16 August 2013 05:50:21.60 +/-    0 days  2:20:31.064  |      21 August 2013 11:28:34.48 +/-    0 days  2:13:48.409
2456531.45232 |    0.09772 | 2456536.68719 |    0.09305 |       26 August 2013 22:51:20.50 +/-    0 days  2:20:43.104  |    1 September 2013 04:29:33.39 +/-    0 days  2:13:59.282
2456542.16134 |    0.09784 | 2456547.39621 |    0.09317 |     6 September 2013 15:52:19.40 +/-    0 days  2:20:53.132  |   11 September 2013 21:30:32.29 +/-    0 days  2:14: 9.528
2456552.87035 |    0.09797 | 2456558.10522 |    0.09329 |    17 September 2013 08:53:18.30 +/-    0 days  2:21: 4.265  |   22 September 2013 14:31:31.19 +/-    0 days  2:14:20.000
2456563.57937 |    0.09809 | 2456568.81424 |    0.09340 |    28 September 2013 01:54:17.20 +/-    0 days  2:21:15.290  |      3 October 2013 07:32:30.09 +/-    0 days  2:14:29.979
2456574.28838 |    0.09822 | 2456579.52325 |    0.09352 |       8 October 2013 18:55:16.11 +/-    0 days  2:21:25.927  |     14 October 2013 00:33:28.99 +/-    0 days  2:14:40.525
2456584.99740 |    0.09835 | 2456590.23227 |    0.09365 |      19 October 2013 11:56:15.01 +/-    0 days  2:21:37.283  |     24 October 2013 17:34:27.89 +/-    0 days  2:14:51.100
2456595.70641 |    0.09848 | 2456600.94128 |    0.09377 |      30 October 2013 04:57:13.91 +/-    0 days  2:21:48.636  |     4 November 2013 10:35:26.79 +/-    0 days  2:15: 1.653
2456606.41543 |    0.09862 | 2456611.65030 |    0.09389 |      9 November 2013 21:58:12.81 +/-    0 days  2:22: 0.512  |    15 November 2013 03:36:25.69 +/-    0 days  2:15:12.413
2456617.12444 |    0.09876 | 2456622.35931 |    0.09402 |     20 November 2013 14:59:11.71 +/-    0 days  2:22:12.783  |    25 November 2013 20:37:24.60 +/-    0 days  2:15:23.072
2456627.83346 |    0.09891 | 2456633.06833 |    0.09413 |      1 December 2013 08:00:10.61 +/-    0 days  2:22:25.662  |     6 December 2013 13:38:23.50 +/-    0 days  2:15:33.243
2456638.54247 |    0.09906 | 2456643.77734 |    0.09426 |     12 December 2013 01:01:09.51 +/-    0 days  2:22:39.019  |    17 December 2013 06:39:22.40 +/-    0 days  2:15:43.801
2456649.25149 |    0.09921 | 2456654.48636 |    0.09438 |     22 December 2013 18:02:08.41 +/-    0 days  2:22:51.427  |    27 December 2013 23:40:21.30 +/-    0 days  2:15:54.265
2456659.96050 |    0.09936 | 2456665.19537 |    0.09450 |       2 January 2014 11:03:07.32 +/-    0 days  2:23: 4.401  |      7 January 2014 16:41:20.20 +/-    0 days  2:16: 4.685
2456670.66952 |    0.09950 | 2456675.90439 |    0.09462 |      13 January 2014 04:04:06.22 +/-    0 days  2:23:16.529  |     18 January 2014 09:42:19.10 +/-    0 days  2:16:15.157
2456681.37853 |    0.09965 | 2456686.61340 |    0.09475 |      23 January 2014 21:05:05.12 +/-    0 days  2:23:29.362  |     29 January 2014 02:43:18.00 +/-    0 days  2:16:26.183
2456692.08755 |    0.09981 | 2456697.32242 |    0.09487 |      3 February 2014 14:06:04.02 +/-    0 days  2:23:43.419  |     8 February 2014 19:44:16.90 +/-    0 days  2:16:37.148
2456702.79656 |    0.09997 | 2456708.03143 |    0.09500 |     14 February 2014 07:07:02.92 +/-    0 days  2:23:57.715  |    19 February 2014 12:45:15.81 +/-    0 days  2:16:47.773
2456713.50558 |    0.10014 | 2456718.74045 |    0.09512 |     25 February 2014 00:08:01.82 +/-    0 days  2:24:11.741  |        2 March 2014 05:46:14.71 +/-    0 days  2:16:58.637
2456724.21459 |    0.10027 | 2456729.44946 |    0.09526 |         7 March 2014 17:09:00.72 +/-    0 days  2:24:23.651  |       12 March 2014 22:47:13.61 +/-    0 days  2:17:10.057
2456734.92361 |    0.10043 | 2456740.15848 |    0.09538 |        18 March 2014 10:09:59.62 +/-    0 days  2:24:36.791  |       23 March 2014 15:48:12.51 +/-    0 days  2:17:20.770
2456745.63262 |    0.10058 | 2456750.86749 |    0.09550 |        29 March 2014 03:10:58.53 +/-    0 days  2:24:50.228  |        3 April 2014 08:49:11.41 +/-    0 days  2:17:30.769
2456756.34164 |    0.10072 | 2456761.57651 |    0.09562 |         8 April 2014 20:11:57.43 +/-    0 days  2:25: 2.049  |       14 April 2014 01:50:10.31 +/-    0 days  2:17:41.733
2456767.05065 |    0.10085 | 2456772.28552 |    0.09575 |        19 April 2014 13:12:56.33 +/-    0 days  2:25:13.765  |       24 April 2014 18:51:09.21 +/-    0 days  2:17:52.530
2456777.75967 |    0.10099 | 2456782.99454 |    0.09587 |        30 April 2014 06:13:55.23 +/-    0 days  2:25:25.659  |          5 May 2014 11:52:08.11 +/-    0 days  2:18: 3.152
2456788.46868 |    0.10113 | 2456793.70355 |    0.09600 |          10 May 2014 23:14:54.13 +/-    0 days  2:25:37.623  |         16 May 2014 04:53:07.02 +/-    0 days  2:18:14.023
2456799.17770 |    0.10128 | 2456804.41257 |    0.09613 |          21 May 2014 16:15:53.03 +/-    0 days  2:25:50.424  |         26 May 2014 21:54:05.92 +/-    0 days  2:18:25.753
2456809.88671 |    0.10143 | 2456815.12158 |    0.09627 |          1 June 2014 09:16:51.93 +/-    0 days  2:26: 3.155  |         6 June 2014 14:55:04.82 +/-    0 days  2:18:37.310
2456820.59573 |    0.10157 | 2456825.83060 |    0.09639 |         12 June 2014 02:17:50.83 +/-    0 days  2:26:15.733  |        17 June 2014 07:56:03.72 +/-    0 days  2:18:48.201
2456831.30474 |    0.10172 | 2456836.53961 |    0.09652 |         22 June 2014 19:18:49.74 +/-    0 days  2:26:29.014  |        28 June 2014 00:57:02.62 +/-    0 days  2:18:59.557
2456842.01376 |    0.10188 | 2456847.24863 |    0.09665 |          3 July 2014 12:19:48.64 +/-    0 days  2:26:42.098  |         8 July 2014 17:58:01.52 +/-    0 days  2:19:10.508
2456852.72277 |    0.10202 | 2456857.95764 |    0.09678 |         14 July 2014 05:20:47.54 +/-    0 days  2:26:54.452  |        19 July 2014 10:59:00.42 +/-    0 days  2:19:21.811
2456863.43179 |    0.10216 | 2456868.66666 |    0.09691 |         24 July 2014 22:21:46.44 +/-    0 days  2:27: 6.612  |        30 July 2014 03:59:59.32 +/-    0 days  2:19:32.948
2456874.14080 |    0.10231 | 2456879.37567 |    0.09704 |        4 August 2014 15:22:45.34 +/-    0 days  2:27:19.552  |       9 August 2014 21:00:58.23 +/-    0 days  2:19:43.969
2456884.84982 |    0.10246 | 2456890.08469 |    0.09716 |       15 August 2014 08:23:44.24 +/-    0 days  2:27:32.372  |      20 August 2014 14:01:57.13 +/-    0 days  2:19:54.816
2456895.55883 |    0.10259 | 2456900.79370 |    0.09729 |       26 August 2014 01:24:43.14 +/-    0 days  2:27:43.957  |      31 August 2014 07:02:56.03 +/-    0 days  2:20: 5.994
2456906.26785 |    0.10274 | 2456911.50272 |    0.09742 |     5 September 2014 18:25:42.04 +/-    0 days  2:27:56.433  |   11 September 2014 00:03:54.93 +/-    0 days  2:20:17.263
2456916.97686 |    0.10288 | 2456922.21173 |    0.09755 |    16 September 2014 11:26:40.95 +/-    0 days  2:28: 8.667  |   21 September 2014 17:04:53.83 +/-    0 days  2:20:28.399
2456927.68588 |    0.10303 | 2456932.92075 |    0.09768 |    27 September 2014 04:27:39.85 +/-    0 days  2:28:21.537  |      2 October 2014 10:05:52.73 +/-    0 days  2:20:39.759
2456938.39489 |    0.10318 | 2456943.62976 |    0.09782 |       7 October 2014 21:28:38.75 +/-    0 days  2:28:34.596  |     13 October 2014 03:06:51.63 +/-    0 days  2:20:51.271
2456949.10391 |    0.10333 | 2456954.33878 |    0.09796 |      18 October 2014 14:29:37.65 +/-    0 days  2:28:47.686  |     23 October 2014 20:07:50.54 +/-    0 days  2:21: 3.360
2456959.81292 |    0.10348 | 2456965.04779 |    0.09809 |      29 October 2014 07:30:36.55 +/-    0 days  2:29: 0.630  |     3 November 2014 13:08:49.44 +/-    0 days  2:21:15.238
2456970.52194 |    0.10363 | 2456975.75681 |    0.09823 |      9 November 2014 00:31:35.45 +/-    0 days  2:29:13.471  |    14 November 2014 06:09:48.34 +/-    0 days  2:21:27.043
2456981.23095 |    0.10378 | 2456986.46582 |    0.09837 |     19 November 2014 17:32:34.35 +/-    0 days  2:29:26.499  |    24 November 2014 23:10:47.24 +/-    0 days  2:21:38.841
2456991.93997 |    0.10393 | 2456997.17484 |    0.09850 |     30 November 2014 10:33:33.25 +/-    0 days  2:29:39.407  |     5 December 2014 16:11:46.14 +/-    0 days  2:21:50.731
2457002.64898 |    0.10407 | 2457007.88385 |    0.09864 |     11 December 2014 03:34:32.16 +/-    0 days  2:29:51.808  |    16 December 2014 09:12:45.04 +/-    0 days  2:22: 2.244
2457013.35800 |    0.10421 | 2457018.59287 |    0.09877 |     21 December 2014 20:35:31.06 +/-    0 days  2:30: 3.808  |    27 December 2014 02:13:43.94 +/-    0 days  2:22:13.880
2457024.06701 |    0.10436 | 2457029.30188 |    0.09891 |       1 January 2015 13:36:29.96 +/-    0 days  2:30:16.727  |      6 January 2015 19:14:42.84 +/-    0 days  2:22:25.819
2457034.77603 |    0.10450 | 2457040.01090 |    0.09905 |      12 January 2015 06:37:28.86 +/-    0 days  2:30:29.138  |     17 January 2015 12:15:41.75 +/-    0 days  2:22:37.511
2457045.48504 |    0.10465 | 2457050.71991 |    0.09919 |      22 January 2015 23:38:27.76 +/-    0 days  2:30:41.993  |     28 January 2015 05:16:40.65 +/-    0 days  2:22:50.152
2457056.19406 |    0.10481 | 2457061.42893 |    0.09933 |      2 February 2015 16:39:26.66 +/-    0 days  2:30:55.614  |     7 February 2015 22:17:39.55 +/-    0 days  2:23: 1.745
2457066.90307 |    0.10496 | 2457072.13795 |    0.09947 |     13 February 2015 09:40:25.56 +/-    0 days  2:31: 8.919  |    18 February 2015 15:18:38.45 +/-    0 days  2:23:13.781
2457077.61209 |    0.10513 | 2457082.84696 |    0.09961 |     24 February 2015 02:41:24.46 +/-    0 days  2:31:23.299  |        1 March 2015 08:19:37.35 +/-    0 days  2:23:25.949
2457088.32110 |    0.10529 | 2457093.55598 |    0.09975 |         6 March 2015 19:42:23.37 +/-    0 days  2:31:36.942  |       12 March 2015 01:20:36.25 +/-    0 days  2:23:38.534
2457099.03012 |    0.10545 | 2457104.26499 |    0.09988 |        17 March 2015 12:43:22.27 +/-    0 days  2:31:50.603  |       22 March 2015 18:21:35.15 +/-    0 days  2:23:49.756
2457109.73913 |    0.10560 | 2457114.97401 |    0.10002 |        28 March 2015 05:44:21.17 +/-    0 days  2:32: 3.789  |        2 April 2015 11:22:34.05 +/-    0 days  2:24: 1.789
2457120.44815 |    0.10575 | 2457125.68302 |    0.10016 |         7 April 2015 22:45:20.07 +/-    0 days  2:32:17.052  |       13 April 2015 04:23:32.96 +/-    0 days  2:24:14.045
2457131.15716 |    0.10590 | 2457136.39204 |    0.10030 |        18 April 2015 15:46:18.97 +/-    0 days  2:32:30.035  |       23 April 2015 21:24:31.86 +/-    0 days  2:24:25.777
2457141.86618 |    0.10606 | 2457147.10105 |    0.10044 |        29 April 2015 08:47:17.87 +/-    0 days  2:32:43.316  |          4 May 2015 14:25:30.76 +/-    0 days  2:24:37.971
2457152.57519 |    0.10621 | 2457157.81007 |    0.10059 |          10 May 2015 01:48:16.77 +/-    0 days  2:32:56.403  |         15 May 2015 07:26:29.66 +/-    0 days  2:24:50.660
2457163.28421 |    0.10636 | 2457168.51908 |    0.10073 |          20 May 2015 18:49:15.68 +/-    0 days  2:33: 9.517  |         26 May 2015 00:27:28.56 +/-    0 days  2:25: 2.945
2457173.99322 |    0.10651 | 2457179.22810 |    0.10087 |          31 May 2015 11:50:14.58 +/-    0 days  2:33:22.810  |         5 June 2015 17:28:27.46 +/-    0 days  2:25:15.219
2457184.70224 |    0.10667 | 2457189.93711 |    0.10101 |         11 June 2015 04:51:13.48 +/-    0 days  2:33:36.416  |        16 June 2015 10:29:26.36 +/-    0 days  2:25:27.487
2457195.41125 |    0.10683 | 2457200.64613 |    0.10115 |         21 June 2015 21:52:12.38 +/-    0 days  2:33:50.043  |        27 June 2015 03:30:25.26 +/-    0 days  2:25:39.629
2457206.12027 |    0.10696 | 2457211.35514 |    0.10130 |          2 July 2015 14:53:11.28 +/-    0 days  2:34: 1.644  |         7 July 2015 20:31:24.17 +/-    0 days  2:25:52.401
2457216.82928 |    0.10710 | 2457222.06416 |    0.10145 |         13 July 2015 07:54:10.18 +/-    0 days  2:34:13.313  |        18 July 2015 13:32:23.07 +/-    0 days  2:26: 5.576
2457227.53830 |    0.10726 | 2457232.77317 |    0.10160 |         24 July 2015 00:55:09.08 +/-    0 days  2:34:26.859  |        29 July 2015 06:33:21.97 +/-    0 days  2:26:18.375
2457238.24731 |    0.10742 | 2457243.48219 |    0.10175 |        3 August 2015 17:56:07.98 +/-    0 days  2:34:40.904  |       8 August 2015 23:34:20.87 +/-    0 days  2:26:31.518
2457248.95633 |    0.10757 | 2457254.19120 |    0.10189 |       14 August 2015 10:57:06.89 +/-    0 days  2:34:54.452  |      19 August 2015 16:35:19.77 +/-    0 days  2:26:43.709
2457259.66534 |    0.10773 | 2457264.90022 |    0.10204 |       25 August 2015 03:58:05.79 +/-    0 days  2:35: 8.026  |      30 August 2015 09:36:18.67 +/-    0 days  2:26:56.364
2457270.37436 |    0.10789 | 2457275.60923 |    0.10219 |     4 September 2015 20:59:04.69 +/-    0 days  2:35:21.871  |   10 September 2015 02:37:17.57 +/-    0 days  2:27: 9.041
2457281.08337 |    0.10806 | 2457286.31825 |    0.10233 |    15 September 2015 14:00:03.59 +/-    0 days  2:35:36.169  |   20 September 2015 19:38:16.47 +/-    0 days  2:27:21.362
2457291.79239 |    0.10821 | 2457297.02726 |    0.10248 |    26 September 2015 07:01:02.49 +/-    0 days  2:35:49.557  |      1 October 2015 12:39:15.38 +/-    0 days  2:27:33.881
2457302.50140 |    0.10836 | 2457307.73628 |    0.10262 |       7 October 2015 00:02:01.39 +/-    0 days  2:36: 2.308  |     12 October 2015 05:40:14.28 +/-    0 days  2:27:46.091
