#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 156846 b | 2456516.7339 | 359.5689 | 0.0069 | 13997.964 | 0.036 | 0.84899 | 0.00056 | 51.42 | 0.23 | 461.3 | 1.3 | -135.7 | 1.1 | 0.0 | 0.0 |   14325.3523
#RA | DEC | T14 | UT14 | V
17 20 34.396 | -19 20 00.24 |           NaN |       0.00000 |       6.50000
#Ephemerides calculated on: Tue Feb  5 19:13:51 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456516.73393 |    0.02456 | 2456843.75490 |    0.33791 |       12 August 2013 05:36:51.75 +/-    0 days  0:35:22.206  |         5 July 2014 06:07:03.00 +/-    0 days  8:06:35.660
2456876.30286 |    0.03055 | 2457203.32382 |    0.33934 |        6 August 2014 19:16:06.99 +/-    0 days  0:43:59.635  |        29 June 2015 19:46:18.24 +/-    0 days  8:08:38.921
2457235.87179 |    0.03684 | 2457562.89275 |    0.34083 |        1 August 2015 08:55:22.23 +/-    0 days  0:53: 3.266  |        23 June 2016 09:25:33.49 +/-    0 days  8:10:47.814
2457595.44071 |    0.04329 | 2457922.46168 |    0.34244 |         25 July 2016 22:34:37.48 +/-    0 days  1:02:20.567  |        17 June 2017 23:04:48.73 +/-    0 days  8:13: 6.969
2457955.00964 |    0.04987 | 2458282.03060 |    0.34423 |         20 July 2017 12:13:52.72 +/-    0 days  1:11:48.396  |        12 June 2018 12:44:03.97 +/-    0 days  8:15:41.612
2458314.57856 |    0.05649 | 2458641.59953 |    0.34631 |         15 July 2018 01:53:07.96 +/-    0 days  1:21:21.143  |         7 June 2019 02:23:19.21 +/-    0 days  8:18:40.863
2458674.14749 |    0.06318 | 2459001.16845 |    0.34838 |          9 July 2019 15:32:23.21 +/-    0 days  1:30:58.909  |         31 May 2020 16:02:34.46 +/-    0 days  8:21:40.265
2459033.71642 |    0.06990 | 2459360.73738 |    0.35053 |          3 July 2020 05:11:38.45 +/-    0 days  1:40:39.172  |         26 May 2021 05:41:49.70 +/-    0 days  8:24:45.729
2459393.28534 |    0.07663 | 2459720.30631 |    0.35281 |         27 June 2021 18:50:53.69 +/-    0 days  1:50:21.095  |         20 May 2022 19:21:04.94 +/-    0 days  8:28: 3.200
2459752.85427 |    0.08340 | 2460079.87523 |    0.35524 |         22 June 2022 08:30:08.93 +/-    0 days  2:00: 5.477  |         15 May 2023 09:00:20.19 +/-    0 days  8:31:33.140
