#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 16417 b | 2456341.5450 | 17.2456 | 0.0049 | 10813.8 | 4.0 | 0.000 | 0.082 | 260 | 100 | 4.89 | 0.52 | 2.10 | 0.83 | 0.0 | 0.0 |   10109.2711
#RA | DEC | T14 | UT14 | V
02 36 58.621 | -34 34 38.44 |           NaN |       0.00000 |       5.78000
#Ephemerides calculated on: Mon Feb 11 19:52:30 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456341.54499 |    0.79353 | 2456350.16781 |    0.96302 |     18 February 2013 01:04:46.74 +/-    0 days 19:02:40.991  |    26 February 2013 16:01:38.77 +/-    0 days 23:06:45.235
2456358.79063 |    0.79744 | 2456367.41346 |    0.96722 |         7 March 2013 06:58:30.81 +/-    0 days 19:08:18.615  |       15 March 2013 21:55:22.84 +/-    0 days 23:12:48.079
2456376.03628 |    0.80123 | 2456384.65911 |    0.97143 |        24 March 2013 12:52:14.88 +/-    0 days 19:13:46.343  |        2 April 2013 03:49:06.90 +/-    0 days 23:18:51.527
2456393.28193 |    0.80515 | 2456401.90476 |    0.97565 |        10 April 2013 18:45:58.94 +/-    0 days 19:19:25.069  |       19 April 2013 09:42:50.97 +/-    0 days 23:24:56.085
2456410.52758 |    0.80914 | 2456419.15041 |    0.97987 |        28 April 2013 00:39:43.01 +/-    0 days 19:25: 9.404  |          6 May 2013 15:36:35.03 +/-    0 days 23:31: 0.921
2456427.77323 |    0.81303 | 2456436.39605 |    0.98410 |          15 May 2013 06:33:27.07 +/-    0 days 19:30:45.771  |         23 May 2013 21:30:19.10 +/-    0 days 23:37: 6.560
2456445.01888 |    0.81695 | 2456453.64170 |    0.98837 |          1 June 2013 12:27:11.14 +/-    0 days 19:36:24.433  |        10 June 2013 03:24:03.17 +/-    0 days 23:43:15.395
2456462.26453 |    0.82098 | 2456470.88735 |    0.99263 |         18 June 2013 18:20:55.21 +/-    0 days 19:42:13.078  |        27 June 2013 09:17:47.23 +/-    0 days 23:49:23.173
2456479.51018 |    0.82495 | 2456488.13300 |    0.99684 |          6 July 2013 00:14:39.27 +/-    0 days 19:47:55.960  |        14 July 2013 15:11:31.30 +/-    0 days 23:55:26.981
2456496.75583 |    0.82902 | 2456505.37865 |    1.00110 |         23 July 2013 06:08:23.34 +/-    0 days 19:53:47.093  |        31 July 2013 21:05:15.36 +/-    1 days  0:01:35.330
2456514.00147 |    0.83306 | 2456522.62430 |    1.00537 |        9 August 2013 12:02:07.41 +/-    0 days 19:59:36.427  |      18 August 2013 02:58:59.43 +/-    1 days  0:07:43.980
2456531.24712 |    0.83712 | 2456539.86995 |    1.00954 |       26 August 2013 17:55:51.47 +/-    0 days 20:05:27.010  |    4 September 2013 08:52:43.50 +/-    1 days  0:13:43.975
2456548.49277 |    0.84117 | 2456557.11560 |    1.01373 |    12 September 2013 23:49:35.54 +/-    0 days 20:11:16.690  |   21 September 2013 14:46:27.56 +/-    1 days  0:19:46.462
2456565.73842 |    0.84520 | 2456574.36125 |    1.01798 |    30 September 2013 05:43:19.60 +/-    0 days 20:17: 5.599  |      8 October 2013 20:40:11.63 +/-    1 days  0:25:53.367
2456582.98407 |    0.84920 | 2456591.60689 |    1.02227 |      17 October 2013 11:37:03.67 +/-    0 days 20:22:51.185  |     26 October 2013 02:33:55.70 +/-    1 days  0:32: 4.417
2456600.22972 |    0.85323 | 2456608.85254 |    1.02658 |      3 November 2013 17:30:47.74 +/-    0 days 20:28:39.425  |    12 November 2013 08:27:39.76 +/-    1 days  0:38:16.462
2456617.47537 |    0.85733 | 2456626.09819 |    1.03090 |     20 November 2013 23:24:31.80 +/-    0 days 20:34:33.152  |    29 November 2013 14:21:23.83 +/-    1 days  0:44:29.410
2456634.72102 |    0.86137 | 2456643.34384 |    1.03522 |      8 December 2013 05:18:15.87 +/-    0 days 20:40:22.260  |    16 December 2013 20:15:07.89 +/-    1 days  0:50:43.218
2456651.96667 |    0.86537 | 2456660.58949 |    1.03952 |     25 December 2013 11:11:59.93 +/-    0 days 20:46: 8.286  |      3 January 2014 02:08:51.96 +/-    1 days  0:56:54.451
2456669.21231 |    0.86951 | 2456677.83514 |    1.04381 |      11 January 2014 17:05:43.00 +/-    0 days 20:52: 5.987  |     20 January 2014 08:02:36.03 +/-    1 days  1:03: 5.608
2456686.45796 |    0.87363 | 2456695.08079 |    1.04810 |      28 January 2014 22:59:28.07 +/-    0 days 20:58: 1.431  |     6 February 2014 13:56:20.09 +/-    1 days  1:09:16.046
2456703.70361 |    0.87762 | 2456712.32644 |    1.05238 |     15 February 2014 04:53:12.13 +/-    0 days 21:03:46.254  |    23 February 2014 19:50:04.16 +/-    1 days  1:15:25.203
2456720.94926 |    0.88191 | 2456729.57209 |    1.05660 |         4 March 2014 10:46:56.20 +/-    0 days 21:09:56.884  |       13 March 2014 01:43:48.22 +/-    1 days  1:21:30.523
2456738.19491 |    0.88604 | 2456746.81773 |    1.06090 |        21 March 2014 16:40:40.26 +/-    0 days 21:15:53.822  |       30 March 2014 07:37:32.29 +/-    1 days  1:27:41.709
2456755.44056 |    0.89019 | 2456764.06338 |    1.06526 |         7 April 2014 22:34:24.33 +/-    0 days 21:21:52.390  |       16 April 2014 13:31:16.36 +/-    1 days  1:33:58.424
2456772.68621 |    0.89438 | 2456781.30903 |    1.06964 |        25 April 2014 04:28:08.40 +/-    0 days 21:27:54.394  |          3 May 2014 19:25:00.42 +/-    1 days  1:40:17.199
2456789.93186 |    0.89837 | 2456798.55468 |    1.07400 |          12 May 2014 10:21:52.46 +/-    0 days 21:33:38.756  |         21 May 2014 01:18:44.49 +/-    1 days  1:46:33.412
2456807.17751 |    0.90248 | 2456815.80033 |    1.07837 |          29 May 2014 16:15:36.53 +/-    0 days 21:39:34.288  |         7 June 2014 07:12:28.55 +/-    1 days  1:52:51.590
2456824.42316 |    0.90653 | 2456833.04598 |    1.08279 |         15 June 2014 22:09:20.59 +/-    0 days 21:45:24.550  |        24 June 2014 13:06:12.62 +/-    1 days  1:59:12.670
2456841.66880 |    0.91071 | 2456850.29163 |    1.08712 |          3 July 2014 04:03:04.66 +/-    0 days 21:51:25.178  |        11 July 2014 18:59:56.69 +/-    1 days  2:05:27.549
2456858.91445 |    0.91487 | 2456867.53728 |    1.09150 |         20 July 2014 09:56:48.73 +/-    0 days 21:57:25.012  |        29 July 2014 00:53:40.75 +/-    1 days  2:11:45.334
2456876.16010 |    0.91908 | 2456884.78293 |    1.09585 |        6 August 2014 15:50:32.79 +/-    0 days 22:03:28.089  |      15 August 2014 06:47:24.82 +/-    1 days  2:18: 1.709
2456893.40575 |    0.92324 | 2456902.02858 |    1.10011 |       23 August 2014 21:44:16.86 +/-    0 days 22:09:28.014  |    1 September 2014 12:41:08.88 +/-    1 days  2:24: 9.536
2456910.65140 |    0.92743 | 2456919.27422 |    1.10444 |    10 September 2014 03:38:00.92 +/-    0 days 22:15:30.042  |   18 September 2014 18:34:52.95 +/-    1 days  2:30:23.961
2456927.89705 |    0.93158 | 2456936.51987 |    1.10878 |    27 September 2014 09:31:44.99 +/-    0 days 22:21:28.511  |      6 October 2014 00:28:37.02 +/-    1 days  2:36:38.191
2456945.14270 |    0.93585 | 2456953.76552 |    1.11304 |      14 October 2014 15:25:29.06 +/-    0 days 22:27:37.473  |     23 October 2014 06:22:21.08 +/-    1 days  2:42:46.335
2456962.38835 |    0.94010 | 2456971.01117 |    1.11736 |      31 October 2014 21:19:13.12 +/-    0 days 22:33:44.684  |     9 November 2014 12:16:05.15 +/-    1 days  2:48:59.869
2456979.63400 |    0.94444 | 2456988.25682 |    1.12175 |     18 November 2014 03:12:57.19 +/-    0 days 22:39:59.731  |    26 November 2014 18:09:49.21 +/-    1 days  2:55:19.292
2456996.87964 |    0.94872 | 2457005.50247 |    1.12617 |      5 December 2014 09:06:41.26 +/-    0 days 22:46: 9.072  |    14 December 2014 00:03:33.28 +/-    1 days  3:01:40.705
2457014.12529 |    0.95292 | 2457022.74812 |    1.13056 |     22 December 2014 15:00:25.32 +/-    0 days 22:52:12.020  |    31 December 2014 05:57:17.35 +/-    1 days  3:08: 0.028
2457031.37094 |    0.95711 | 2457039.99377 |    1.13494 |       8 January 2015 20:54:09.39 +/-    0 days 22:58:14.172  |     17 January 2015 11:51:01.41 +/-    1 days  3:14:18.467
2457048.61659 |    0.96139 | 2457057.23942 |    1.13928 |      26 January 2015 02:47:53.45 +/-    0 days 23:04:24.026  |     3 February 2015 17:44:45.48 +/-    1 days  3:20:34.000
2457065.86224 |    0.96562 | 2457074.48506 |    1.14367 |     12 February 2015 08:41:37.52 +/-    0 days 23:10:29.559  |    20 February 2015 23:38:29.55 +/-    1 days  3:26:53.444
2457083.10789 |    0.96979 | 2457091.73071 |    1.14807 |         1 March 2015 14:35:21.59 +/-    0 days 23:16:29.865  |       10 March 2015 05:32:13.61 +/-    1 days  3:33:13.356
2457100.35354 |    0.97401 | 2457108.97636 |    1.15247 |        18 March 2015 20:29:05.65 +/-    0 days 23:22:34.762  |       27 March 2015 11:25:57.68 +/-    1 days  3:39:33.582
2457117.59919 |    0.97831 | 2457126.22201 |    1.15688 |         5 April 2015 02:22:49.72 +/-    0 days 23:28:46.278  |       13 April 2015 17:19:41.74 +/-    1 days  3:45:54.724
2457134.84484 |    0.98259 | 2457143.46766 |    1.16127 |        22 April 2015 08:16:33.78 +/-    0 days 23:34:55.361  |       30 April 2015 23:13:25.81 +/-    1 days  3:52:13.484
2457152.09048 |    0.98678 | 2457160.71331 |    1.16568 |           9 May 2015 14:10:17.85 +/-    0 days 23:40:57.414  |         18 May 2015 05:07:09.88 +/-    1 days  3:58:34.460
2457169.33613 |    0.99097 | 2457177.95896 |    1.17008 |          26 May 2015 20:04:01.92 +/-    0 days 23:46:59.857  |         4 June 2015 11:00:53.94 +/-    1 days  4:04:54.971
2457186.58178 |    0.99520 | 2457195.20461 |    1.17448 |         13 June 2015 01:57:45.98 +/-    0 days 23:53: 5.293  |        21 June 2015 16:54:38.01 +/-    1 days  4:11:15.288
2457203.82743 |    0.99946 | 2457212.45026 |    1.17894 |         30 June 2015 07:51:30.05 +/-    0 days 23:59:13.305  |         8 July 2015 22:48:22.07 +/-    1 days  4:17:40.367
2457221.07308 |    1.00373 | 2457229.69590 |    1.18340 |         17 July 2015 13:45:14.11 +/-    1 days  0:05:22.170  |        26 July 2015 04:42:06.14 +/-    1 days  4:24: 5.455
2457238.31873 |    1.00798 | 2457246.94155 |    1.18784 |        3 August 2015 19:38:58.18 +/-    1 days  0:11:29.639  |      12 August 2015 10:35:50.21 +/-    1 days  4:30:29.230
2457255.56438 |    1.01226 | 2457264.18720 |    1.19227 |       21 August 2015 01:32:42.25 +/-    1 days  0:17:38.854  |      29 August 2015 16:29:34.27 +/-    1 days  4:36:52.486
2457272.81003 |    1.01648 | 2457281.43285 |    1.19673 |     7 September 2015 07:26:26.31 +/-    1 days  0:23:44.033  |   15 September 2015 22:23:18.34 +/-    1 days  4:43:17.175
2457290.05568 |    1.02077 | 2457298.67850 |    1.20118 |    24 September 2015 13:20:10.38 +/-    1 days  0:29:54.468  |      3 October 2015 04:17:02.40 +/-    1 days  4:49:42.148
2457307.30132 |    1.02501 | 2457315.92415 |    1.20563 |      11 October 2015 19:13:54.44 +/-    1 days  0:36: 0.742  |     20 October 2015 10:10:46.47 +/-    1 days  4:56: 6.441
2457324.54697 |    1.02934 | 2457333.16980 |    1.21010 |      29 October 2015 01:07:38.51 +/-    1 days  0:42:14.627  |     6 November 2015 16:04:30.54 +/-    1 days  5:02:32.904
2457341.79262 |    1.03362 | 2457350.41545 |    1.21459 |     15 November 2015 07:01:22.58 +/-    1 days  0:48:24.676  |    23 November 2015 21:58:14.60 +/-    1 days  5:09: 0.575
2457359.03827 |    1.03802 | 2457367.66110 |    1.21904 |      2 December 2015 12:55:06.64 +/-    1 days  0:54:45.214  |    11 December 2015 03:51:58.67 +/-    1 days  5:15:25.250
2457376.28392 |    1.04234 | 2457384.90674 |    1.22351 |     19 December 2015 18:48:50.71 +/-    1 days  1:00:58.545  |    28 December 2015 09:45:42.73 +/-    1 days  5:21:50.971
2457393.52957 |    1.04668 | 2457402.15239 |    1.22799 |       6 January 2016 00:42:34.77 +/-    1 days  1:07:12.824  |     14 January 2016 15:39:26.80 +/-    1 days  5:28:18.043
2457410.77522 |    1.05098 | 2457419.39804 |    1.23247 |      23 January 2016 06:36:18.84 +/-    1 days  1:13:24.842  |     31 January 2016 21:33:10.87 +/-    1 days  5:34:45.697
2457428.02087 |    1.05527 | 2457436.64369 |    1.23694 |      9 February 2016 12:30:02.91 +/-    1 days  1:19:35.643  |    18 February 2016 03:26:54.93 +/-    1 days  5:41:11.604
2457445.26652 |    1.05959 | 2457453.88934 |    1.24143 |     26 February 2016 18:23:46.97 +/-    1 days  1:25:48.415  |        6 March 2016 09:20:38.00 +/-    1 days  5:47:39.187
2457462.51216 |    1.06389 | 2457471.13499 |    1.24593 |        15 March 2016 00:17:31.04 +/-    1 days  1:32: 0.046  |       23 March 2016 15:14:23.06 +/-    1 days  5:54: 7.978
2457479.75781 |    1.06823 | 2457488.38064 |    1.25042 |         1 April 2016 06:11:15.11 +/-    1 days  1:38:14.695  |        9 April 2016 21:08:07.13 +/-    1 days  6:00:36.034
2457497.00346 |    1.07261 | 2457505.62629 |    1.25491 |        18 April 2016 12:04:59.17 +/-    1 days  1:44:33.322  |       27 April 2016 03:01:51.20 +/-    1 days  6:07: 3.867
