#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 17156 b | 2456347.9562 | 21.21655 | 0.00044 | 14756.994 | 0.040 | 0.6743 | 0.0051 | 121.54 | 0.36 | 273.9 | 3.7 | 7.6 | 1.1 | 0.0 | 0.0 |   14761.5761
#RA | DEC | T14 | UT14 | V
02 49 44.318 | +71 45 11.92 |      0.133750 |    0.00333000 |       8.17000
#Ephemerides calculated on: Tue Feb  5 19:38:35 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456347.95622 |    0.04840 | 2456352.92911 |    0.09067 |     24 February 2013 10:56:57.44 +/-    0 days  1:09:42.145  |        1 March 2013 10:17:55.32 +/-    0 days  2:10:33.772
2456369.17277 |    0.04870 | 2456374.14566 |    0.09072 |        17 March 2013 16:08:46.94 +/-    0 days  1:10: 7.645  |       22 March 2013 15:29:44.82 +/-    0 days  2:10:38.430
2456390.38931 |    0.04899 | 2456395.36220 |    0.09079 |         7 April 2013 21:20:36.43 +/-    0 days  1:10:32.373  |       12 April 2013 20:41:34.31 +/-    0 days  2:10:43.869
2456411.60586 |    0.04928 | 2456416.57875 |    0.09085 |        29 April 2013 02:32:25.92 +/-    0 days  1:10:57.385  |          4 May 2013 01:53:23.80 +/-    0 days  2:10:49.100
2456432.82240 |    0.04958 | 2456437.79529 |    0.09092 |          20 May 2013 07:44:15.42 +/-    0 days  1:11:24.085  |         25 May 2013 07:05:13.30 +/-    0 days  2:10:55.295
2456454.03895 |    0.04988 | 2456459.01184 |    0.09099 |         10 June 2013 12:56:04.91 +/-    0 days  1:11:49.598  |        15 June 2013 12:17:02.79 +/-    0 days  2:11: 1.326
2456475.25549 |    0.05017 | 2456480.22838 |    0.09104 |          1 July 2013 18:07:54.41 +/-    0 days  1:12:14.929  |         6 July 2013 17:28:52.29 +/-    0 days  2:11: 6.177
2456496.47204 |    0.05049 | 2456501.44493 |    0.09111 |         22 July 2013 23:19:43.90 +/-    0 days  1:12:41.939  |        27 July 2013 22:40:41.78 +/-    0 days  2:11:12.131
2456517.68858 |    0.05080 | 2456522.66147 |    0.09118 |       13 August 2013 04:31:33.40 +/-    0 days  1:13: 8.920  |      18 August 2013 03:52:31.28 +/-    0 days  2:11:17.919
2456538.90513 |    0.05112 | 2456543.87802 |    0.09126 |     3 September 2013 09:43:22.89 +/-    0 days  1:13:36.480  |    8 September 2013 09:04:20.77 +/-    0 days  2:11:24.703
2456560.12167 |    0.05143 | 2456565.09456 |    0.09132 |    24 September 2013 14:55:12.38 +/-    0 days  1:14: 3.473  |   29 September 2013 14:16:10.26 +/-    0 days  2:11:29.931
2456581.33822 |    0.05175 | 2456586.31111 |    0.09141 |      15 October 2013 20:07:01.88 +/-    0 days  1:14:31.089  |     20 October 2013 19:27:59.76 +/-    0 days  2:11:37.935
2456602.55476 |    0.05207 | 2456607.52765 |    0.09148 |      6 November 2013 01:18:51.37 +/-    0 days  1:14:58.470  |    11 November 2013 00:39:49.25 +/-    0 days  2:11:44.213
2456623.77131 |    0.05239 | 2456628.74420 |    0.09155 |     27 November 2013 06:30:40.87 +/-    0 days  1:15:26.444  |     2 December 2013 05:51:38.75 +/-    0 days  2:11:50.249
2456644.98785 |    0.05269 | 2456649.96074 |    0.09164 |     18 December 2013 11:42:30.36 +/-    0 days  1:15:52.208  |    23 December 2013 11:03:28.24 +/-    0 days  2:11:57.563
2456666.20440 |    0.05301 | 2456671.17729 |    0.09173 |       8 January 2014 16:54:19.86 +/-    0 days  1:16:20.456  |     13 January 2014 16:15:17.74 +/-    0 days  2:12: 5.792
2456687.42094 |    0.05335 | 2456692.39383 |    0.09184 |      29 January 2014 22:06:09.35 +/-    0 days  1:16:49.299  |     3 February 2014 21:27:07.23 +/-    0 days  2:12:14.774
2456708.63749 |    0.05368 | 2456713.61038 |    0.09194 |     20 February 2014 03:17:58.84 +/-    0 days  1:17:18.261  |    25 February 2014 02:38:56.72 +/-    0 days  2:12:23.616
2456729.85403 |    0.05401 | 2456734.82692 |    0.09203 |        13 March 2014 08:29:48.34 +/-    0 days  1:17:46.288  |       18 March 2014 07:50:46.22 +/-    0 days  2:12:31.223
2456751.07058 |    0.05433 | 2456756.04347 |    0.09212 |         3 April 2014 13:41:37.83 +/-    0 days  1:18:14.481  |        8 April 2014 13:02:35.71 +/-    0 days  2:12:38.853
2456772.28712 |    0.05466 | 2456777.26001 |    0.09221 |        24 April 2014 18:53:27.33 +/-    0 days  1:18:42.441  |       29 April 2014 18:14:25.21 +/-    0 days  2:12:46.782
2456793.50367 |    0.05498 | 2456798.47656 |    0.09232 |          16 May 2014 00:05:16.82 +/-    0 days  1:19:10.627  |         20 May 2014 23:26:14.70 +/-    0 days  2:12:56.031
2456814.72021 |    0.05531 | 2456819.69310 |    0.09242 |          6 June 2014 05:17:06.32 +/-    0 days  1:19:38.423  |        11 June 2014 04:38:04.20 +/-    0 days  2:13: 4.706
2456835.93676 |    0.05563 | 2456840.90965 |    0.09251 |         27 June 2014 10:28:55.81 +/-    0 days  1:20: 6.349  |         2 July 2014 09:49:53.69 +/-    0 days  2:13:12.668
2456857.15330 |    0.05597 | 2456862.12619 |    0.09261 |         18 July 2014 15:40:45.30 +/-    0 days  1:20:35.904  |        23 July 2014 15:01:43.18 +/-    0 days  2:13:21.870
2456878.36985 |    0.05629 | 2456883.34274 |    0.09273 |        8 August 2014 20:52:34.80 +/-    0 days  1:21: 3.716  |      13 August 2014 20:13:32.68 +/-    0 days  2:13:31.593
2456899.58639 |    0.05661 | 2456904.55928 |    0.09286 |       30 August 2014 02:04:24.29 +/-    0 days  1:21:31.175  |    4 September 2014 01:25:22.17 +/-    0 days  2:13:42.755
2456920.80294 |    0.05694 | 2456925.77583 |    0.09296 |    20 September 2014 07:16:13.79 +/-    0 days  1:21:59.374  |   25 September 2014 06:37:11.67 +/-    0 days  2:13:51.618
2456942.01948 |    0.05729 | 2456946.99237 |    0.09305 |      11 October 2014 12:28:03.28 +/-    0 days  1:22:30.017  |     16 October 2014 11:49:01.16 +/-    0 days  2:13:59.461
2456963.23603 |    0.05762 | 2456968.20892 |    0.09314 |      1 November 2014 17:39:52.78 +/-    0 days  1:22:58.638  |     6 November 2014 17:00:50.65 +/-    0 days  2:14: 7.623
2456984.45257 |    0.05796 | 2456989.42546 |    0.09325 |     22 November 2014 22:51:42.27 +/-    0 days  1:23:28.064  |    27 November 2014 22:12:40.15 +/-    0 days  2:14:16.378
2457005.66912 |    0.05830 | 2457010.64201 |    0.09337 |     14 December 2014 04:03:31.76 +/-    0 days  1:23:56.703  |    19 December 2014 03:24:29.64 +/-    0 days  2:14:27.473
2457026.88566 |    0.05863 | 2457031.85855 |    0.09350 |       4 January 2015 09:15:21.26 +/-    0 days  1:24:25.830  |      9 January 2015 08:36:19.14 +/-    0 days  2:14:38.483
2457048.10221 |    0.05898 | 2457053.07510 |    0.09362 |      25 January 2015 14:27:10.75 +/-    0 days  1:24:55.891  |     30 January 2015 13:48:08.63 +/-    0 days  2:14:48.809
2457069.31875 |    0.05932 | 2457074.29164 |    0.09374 |     15 February 2015 19:39:00.25 +/-    0 days  1:25:25.265  |    20 February 2015 18:59:58.13 +/-    0 days  2:14:59.516
2457090.53530 |    0.05967 | 2457095.50819 |    0.09388 |         9 March 2015 00:50:49.74 +/-    0 days  1:25:55.723  |       14 March 2015 00:11:47.62 +/-    0 days  2:15:11.128
2457111.75184 |    0.06004 | 2457116.72474 |    0.09402 |        30 March 2015 06:02:39.23 +/-    0 days  1:26:27.294  |        4 April 2015 05:23:37.11 +/-    0 days  2:15:23.142
2457132.96839 |    0.06041 | 2457137.94128 |    0.09415 |        20 April 2015 11:14:28.73 +/-    0 days  1:26:59.286  |       25 April 2015 10:35:26.61 +/-    0 days  2:15:34.654
2457154.18493 |    0.06077 | 2457159.15783 |    0.09429 |          11 May 2015 16:26:18.22 +/-    0 days  1:27:30.744  |         16 May 2015 15:47:16.10 +/-    0 days  2:15:46.293
2457175.40148 |    0.06112 | 2457180.37437 |    0.09443 |          1 June 2015 21:38:07.72 +/-    0 days  1:28: 0.632  |         6 June 2015 20:59:05.60 +/-    0 days  2:15:58.447
2457196.61802 |    0.06148 | 2457201.59092 |    0.09455 |         23 June 2015 02:49:57.21 +/-    0 days  1:28:31.732  |        28 June 2015 02:10:55.09 +/-    0 days  2:16: 8.731
