#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 192263 b | 2456345.7212 | 24.3591 | 0.0020 | 10992 | 11 | 0.008 | 0.023 | 170 | 100 | 58.8 | 2.0 | -10685.3 | 1.1 | 0.0 | 0.0 |   10998.6409
#RA | DEC | T14 | UT14 | V
20 13 59.882 | -00 52 03.05 |           NaN |       0.00000 |       7.79000
#Ephemerides calculated on: Tue Feb  5 19:27:37 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456345.72116 |    0.44959 | 2456357.77291 |    0.45372 |     22 February 2013 05:18:27.83 +/-    0 days 10:47:24.437  |        6 March 2013 06:32:59.76 +/-    0 days 10:53:21.446
2456370.08022 |    0.45098 | 2456382.13198 |    0.45507 |        18 March 2013 13:55:30.95 +/-    0 days 10:49:25.072  |       30 March 2013 15:10:02.88 +/-    0 days 10:55:17.701
2456394.43928 |    0.45249 | 2456406.49104 |    0.45644 |        11 April 2013 22:32:34.07 +/-    0 days 10:51:35.358  |       23 April 2013 23:47:06.00 +/-    0 days 10:57:16.713
2456418.79835 |    0.45395 | 2456430.85011 |    0.45794 |           6 May 2013 07:09:37.20 +/-    0 days 10:53:41.396  |         18 May 2013 08:24:09.12 +/-    0 days 10:59:25.650
2456443.15741 |    0.45539 | 2456455.20917 |    0.45947 |          30 May 2013 15:46:40.32 +/-    0 days 10:55:45.779  |        11 June 2013 17:01:12.24 +/-    0 days 11:01:38.121
2456467.51647 |    0.45684 | 2456479.56823 |    0.46093 |         24 June 2013 00:23:43.44 +/-    0 days 10:57:51.331  |         6 July 2013 01:38:15.37 +/-    0 days 11:03:43.951
2456491.87554 |    0.45832 | 2456503.92730 |    0.46245 |         18 July 2013 09:00:46.56 +/-    0 days 10:59:58.516  |        30 July 2013 10:15:18.49 +/-    0 days 11:05:56.004
2456516.23460 |    0.45979 | 2456528.28636 |    0.46400 |       11 August 2013 17:37:49.68 +/-    0 days 11:02: 5.813  |      23 August 2013 18:52:21.61 +/-    0 days 11:08: 9.455
2456540.59367 |    0.46133 | 2456552.64543 |    0.46551 |     5 September 2013 02:14:52.80 +/-    0 days 11:04:19.262  |   17 September 2013 03:29:24.73 +/-    0 days 11:10:20.291
2456564.95273 |    0.46289 | 2456577.00449 |    0.46706 |    29 September 2013 10:51:55.93 +/-    0 days 11:06:33.679  |     11 October 2013 12:06:27.85 +/-    0 days 11:12:33.586
2456589.31179 |    0.46439 | 2456601.36355 |    0.46862 |      23 October 2013 19:28:59.05 +/-    0 days 11:08:43.571  |     4 November 2013 20:43:30.97 +/-    0 days 11:14:48.856
2456613.67086 |    0.46588 | 2456625.72262 |    0.47021 |     17 November 2013 04:06:02.17 +/-    0 days 11:10:52.007  |    29 November 2013 05:20:34.10 +/-    0 days 11:17: 6.486
2456638.02992 |    0.46738 | 2456650.08168 |    0.47171 |     11 December 2013 12:43:05.29 +/-    0 days 11:13: 1.292  |    23 December 2013 13:57:37.22 +/-    0 days 11:19:16.094
2456662.38899 |    0.46880 | 2456674.44074 |    0.47311 |       4 January 2014 21:20:08.41 +/-    0 days 11:15: 4.222  |     16 January 2014 22:34:40.34 +/-    0 days 11:21:16.687
2456686.74805 |    0.47025 | 2456698.79981 |    0.47472 |      29 January 2014 05:57:11.53 +/-    0 days 11:17: 9.502  |    10 February 2014 07:11:43.46 +/-    0 days 11:23:35.646
2456711.10711 |    0.47175 | 2456723.15887 |    0.47627 |     22 February 2014 14:34:14.66 +/-    0 days 11:19:19.058  |        6 March 2014 15:48:46.58 +/-    0 days 11:25:49.378
2456735.46618 |    0.47326 | 2456747.51794 |    0.47771 |        18 March 2014 23:11:17.78 +/-    0 days 11:21:29.584  |       31 March 2014 00:25:49.70 +/-    0 days 11:27:54.479
2456759.82524 |    0.47480 | 2456771.87700 |    0.47905 |        12 April 2014 07:48:20.90 +/-    0 days 11:23:42.414  |       24 April 2014 09:02:52.83 +/-    0 days 11:29:49.619
2456784.18431 |    0.47634 | 2456796.23606 |    0.48062 |           6 May 2014 16:25:24.02 +/-    0 days 11:25:56.016  |         18 May 2014 17:39:55.95 +/-    0 days 11:32: 5.827
2456808.54337 |    0.47782 | 2456820.59513 |    0.48213 |          31 May 2014 01:02:27.14 +/-    0 days 11:28: 3.546  |        12 June 2014 02:16:59.07 +/-    0 days 11:34:16.129
2456832.90243 |    0.47935 | 2456844.95419 |    0.48368 |         24 June 2014 09:39:30.26 +/-    0 days 11:30:15.427  |         6 July 2014 10:54:02.19 +/-    0 days 11:36:29.667
2456857.26150 |    0.48086 | 2456869.31326 |    0.48519 |         18 July 2014 18:16:33.39 +/-    0 days 11:32:26.287  |        30 July 2014 19:31:05.31 +/-    0 days 11:38:40.138
2456881.62056 |    0.48247 | 2456893.67232 |    0.48663 |       12 August 2014 02:53:36.51 +/-    0 days 11:34:45.413  |      24 August 2014 04:08:08.43 +/-    0 days 11:40:44.473
2456905.97963 |    0.48405 | 2456918.03138 |    0.48822 |     5 September 2014 11:30:39.63 +/-    0 days 11:37: 1.602  |   17 September 2014 12:45:11.56 +/-    0 days 11:43: 2.107
2456930.33869 |    0.48562 | 2456942.39045 |    0.48980 |    29 September 2014 20:07:42.75 +/-    0 days 11:39:17.741  |     11 October 2014 21:22:14.68 +/-    0 days 11:45:18.467
2456954.69775 |    0.48704 | 2456966.74951 |    0.49143 |      24 October 2014 04:44:45.87 +/-    0 days 11:41:19.999  |     5 November 2014 05:59:17.80 +/-    0 days 11:47:39.339
2456979.05682 |    0.48861 | 2456991.10858 |    0.49297 |     17 November 2014 13:21:48.99 +/-    0 days 11:43:36.114  |    29 November 2014 14:36:20.92 +/-    0 days 11:49:52.294
2457003.41588 |    0.49018 | 2457015.46764 |    0.49448 |     11 December 2014 21:58:52.12 +/-    0 days 11:45:51.865  |    23 December 2014 23:13:24.04 +/-    0 days 11:52: 3.422
2457027.77494 |    0.49179 | 2457039.82670 |    0.49594 |       5 January 2015 06:35:55.24 +/-    0 days 11:48:11.088  |     17 January 2015 07:50:27.16 +/-    0 days 11:54: 9.533
2457052.13401 |    0.49336 | 2457064.18577 |    0.49746 |      29 January 2015 15:12:58.36 +/-    0 days 11:50:26.523  |    10 February 2015 16:27:30.29 +/-    0 days 11:56:20.691
2457076.49307 |    0.49493 | 2457088.54483 |    0.49915 |     22 February 2015 23:50:01.48 +/-    0 days 11:52:42.352  |        7 March 2015 01:04:33.41 +/-    0 days 11:58:46.408
2457100.85214 |    0.49653 | 2457112.90390 |    0.50076 |        19 March 2015 08:27:04.60 +/-    0 days 11:55: 0.025  |       31 March 2015 09:41:36.53 +/-    0 days 12:01: 5.316
2457125.21120 |    0.49809 | 2457137.26296 |    0.50242 |        12 April 2015 17:04:07.72 +/-    0 days 11:57:14.608  |       24 April 2015 18:18:39.65 +/-    0 days 12:03:29.081
2457149.57026 |    0.49972 | 2457161.62202 |    0.50396 |           7 May 2015 01:41:10.85 +/-    0 days 11:59:35.996  |         19 May 2015 02:55:42.77 +/-    0 days 12:05:42.392
2457173.92933 |    0.50127 | 2457185.98109 |    0.50560 |          31 May 2015 10:18:13.97 +/-    0 days 12:01:49.763  |        12 June 2015 11:32:45.90 +/-    0 days 12:08: 3.569
2457198.28839 |    0.50288 | 2457210.34015 |    0.50724 |         24 June 2015 18:55:17.09 +/-    0 days 12:04: 8.602  |         6 July 2015 20:09:49.02 +/-    0 days 12:10:25.168
2457222.64746 |    0.50446 | 2457234.69921 |    0.50878 |         19 July 2015 03:32:20.21 +/-    0 days 12:06:25.628  |        31 July 2015 04:46:52.14 +/-    0 days 12:12:38.514
2457247.00652 |    0.50600 | 2457259.05828 |    0.51039 |       12 August 2015 12:09:23.33 +/-    0 days 12:08:38.278  |      24 August 2015 13:23:55.26 +/-    0 days 12:14:57.881
2457271.36558 |    0.50762 | 2457283.41734 |    0.51199 |     5 September 2015 20:46:26.46 +/-    0 days 12:10:58.757  |   17 September 2015 22:00:58.38 +/-    0 days 12:17:16.090
2457295.72465 |    0.50919 | 2457307.77641 |    0.51369 |    30 September 2015 05:23:29.58 +/-    0 days 12:13:14.422  |     12 October 2015 06:38:01.50 +/-    0 days 12:19:42.403
2457320.08371 |    0.51078 | 2457332.13547 |    0.51525 |      24 October 2015 14:00:32.70 +/-    0 days 12:15:31.807  |     5 November 2015 15:15:04.63 +/-    0 days 12:21:57.913
2457344.44278 |    0.51240 | 2457356.49453 |    0.51688 |     17 November 2015 22:37:35.82 +/-    0 days 12:17:51.045  |    29 November 2015 23:52:07.75 +/-    0 days 12:24:18.217
