#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 192263 b | 2456027.0060 | 24.3473 | 0.0058 | 11001.1 | 5.5 | 0.018 | 0.019 | 300 | 110 | 60.2 | 1.5 | -10684.6 | 1.1 | 0.0 | 0.0 |   10998.6409
#RA | DEC | T14 | UT14 | V
20 13 59.882 | -00 52 03.05 |           NaN |       0.00000 |       7.79000
#Ephemerides calculated on: Thu Mar 22 16:51:17 2012
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456027.00600 |    1.01831 | 2456039.30212 |    1.00941 |         9 April 2012 12:08:38.20 +/-    1 days  0:26:22.230  |       21 April 2012 19:15:03.43 +/-    1 days  0:13:33.011
2456051.35333 |    1.02406 | 2456063.64946 |    1.01504 |           3 May 2012 20:28:47.87 +/-    1 days  0:34:38.988  |         16 May 2012 03:35:13.11 +/-    1 days  0:21:39.198
2456075.70067 |    1.02970 | 2456087.99679 |    1.02064 |          28 May 2012 04:48:57.55 +/-    1 days  0:42:46.106  |         9 June 2012 11:55:22.78 +/-    1 days  0:29:43.033
2456100.04800 |    1.03540 | 2456112.34413 |    1.02638 |         21 June 2012 13:09:07.22 +/-    1 days  0:50:58.422  |         3 July 2012 20:15:32.46 +/-    1 days  0:37:59.475
2456124.39533 |    1.04115 | 2456136.69146 |    1.03204 |         15 July 2012 21:29:16.90 +/-    1 days  0:59:15.081  |        28 July 2012 04:35:42.13 +/-    1 days  0:46: 8.551
2456148.74267 |    1.04684 | 2456161.03879 |    1.03768 |        9 August 2012 05:49:26.57 +/-    1 days  1:07:26.916  |      21 August 2012 12:55:51.80 +/-    1 days  0:54:15.473
2456173.09000 |    1.05246 | 2456185.38613 |    1.04335 |     2 September 2012 14:09:36.25 +/-    1 days  1:15:32.579  |   14 September 2012 21:16:01.48 +/-    1 days  1:02:25.342
2456197.43734 |    1.05806 | 2456209.73346 |    1.04908 |    26 September 2012 22:29:45.92 +/-    1 days  1:23:35.961  |      9 October 2012 05:36:11.15 +/-    1 days  1:10:40.189
2456221.78467 |    1.06366 | 2456234.08080 |    1.05468 |      21 October 2012 06:49:55.60 +/-    1 days  1:31:40.366  |     2 November 2012 13:56:20.83 +/-    1 days  1:18:44.057
2456246.13201 |    1.06932 | 2456258.42813 |    1.06028 |     14 November 2012 15:10:05.27 +/-    1 days  1:39:49.029  |    26 November 2012 22:16:30.50 +/-    1 days  1:26:48.462
