#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 195019 b | 2456341.3633 | 18.20100 | 0.00014 | 11052.63 | 0.70 | 0.0154 | 0.0035 | 244 | 14 | 274.56 | 0.90 | 42.15 | 0.90 | 0.0 | 0.0 |   11017.4219
#RA | DEC | T14 | UT14 | V
20 28 18.421 | +18 46 10.68 |           NaN |       0.00000 |       6.87000
#Ephemerides calculated on: Mon Feb 11 20:07:19 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456341.36333 |    0.03895 | 2456350.38605 |    0.03782 |     17 February 2013 20:43:12.09 +/-    0 days  0:56: 5.044  |    26 February 2013 21:15:54.79 +/-    0 days  0:54:27.741
2456359.56434 |    0.03906 | 2456368.58705 |    0.03793 |         8 March 2013 01:32:38.78 +/-    0 days  0:56:14.794  |       17 March 2013 02:05:21.48 +/-    0 days  0:54:37.109
2456377.76534 |    0.03918 | 2456386.78806 |    0.03804 |        26 March 2013 06:22:05.47 +/-    0 days  0:56:24.811  |        4 April 2013 06:54:48.16 +/-    0 days  0:54:46.317
2456395.96634 |    0.03929 | 2456404.98906 |    0.03815 |        13 April 2013 11:11:32.15 +/-    0 days  0:56:34.540  |       22 April 2013 11:44:14.85 +/-    0 days  0:54:56.124
2456414.16735 |    0.03940 | 2456423.19006 |    0.03826 |           1 May 2013 16:00:58.84 +/-    0 days  0:56:44.293  |         10 May 2013 16:33:41.54 +/-    0 days  0:55: 5.337
2456432.36835 |    0.03951 | 2456441.39107 |    0.03836 |          19 May 2013 20:50:25.53 +/-    0 days  0:56:54.037  |         28 May 2013 21:23:08.23 +/-    0 days  0:55:14.576
2456450.56935 |    0.03963 | 2456459.59207 |    0.03847 |          7 June 2013 01:39:52.21 +/-    0 days  0:57: 4.018  |        16 June 2013 02:12:34.91 +/-    0 days  0:55:23.926
2456468.77036 |    0.03974 | 2456477.79307 |    0.03858 |         25 June 2013 06:29:18.90 +/-    0 days  0:57:13.760  |         4 July 2013 07:02:01.60 +/-    0 days  0:55:33.152
2456486.97136 |    0.03986 | 2456495.99408 |    0.03869 |         13 July 2013 11:18:45.59 +/-    0 days  0:57:23.582  |        22 July 2013 11:51:28.29 +/-    0 days  0:55:42.687
2456505.17236 |    0.03997 | 2456514.19508 |    0.03880 |         31 July 2013 16:08:12.28 +/-    0 days  0:57:33.643  |       9 August 2013 16:40:54.97 +/-    0 days  0:55:52.383
2456523.37337 |    0.04009 | 2456532.39608 |    0.03892 |       18 August 2013 20:57:38.96 +/-    0 days  0:57:43.527  |      27 August 2013 21:30:21.66 +/-    0 days  0:56: 2.476
2456541.57437 |    0.04021 | 2456550.59709 |    0.03903 |     6 September 2013 01:47:05.65 +/-    0 days  0:57:53.860  |   15 September 2013 02:19:48.35 +/-    0 days  0:56:12.171
2456559.77537 |    0.04033 | 2456568.79809 |    0.03914 |    24 September 2013 06:36:32.34 +/-    0 days  0:58: 4.287  |      3 October 2013 07:09:15.03 +/-    0 days  0:56:21.804
2456577.97638 |    0.04044 | 2456586.99909 |    0.03925 |      12 October 2013 11:25:59.02 +/-    0 days  0:58:14.207  |     21 October 2013 11:58:41.72 +/-    0 days  0:56:31.249
2456596.17738 |    0.04056 | 2456605.20010 |    0.03936 |      30 October 2013 16:15:25.71 +/-    0 days  0:58:24.746  |     8 November 2013 16:48:08.41 +/-    0 days  0:56:40.695
2456614.37838 |    0.04068 | 2456623.40110 |    0.03947 |     17 November 2013 21:04:52.40 +/-    0 days  0:58:34.836  |    26 November 2013 21:37:35.10 +/-    0 days  0:56:50.199
2456632.57939 |    0.04079 | 2456641.60210 |    0.03958 |      6 December 2013 01:54:19.08 +/-    0 days  0:58:44.384  |    15 December 2013 02:27:01.78 +/-    0 days  0:57: 0.129
2456650.78039 |    0.04091 | 2456659.80311 |    0.03970 |     24 December 2013 06:43:45.77 +/-    0 days  0:58:54.201  |      2 January 2014 07:16:28.47 +/-    0 days  0:57:10.255
2456668.98139 |    0.04102 | 2456678.00411 |    0.03982 |      11 January 2014 11:33:12.46 +/-    0 days  0:59: 3.783  |     20 January 2014 12:05:55.16 +/-    0 days  0:57:20.167
2456687.18240 |    0.04113 | 2456696.20511 |    0.03993 |      29 January 2014 16:22:39.15 +/-    0 days  0:59:13.716  |     7 February 2014 16:55:21.84 +/-    0 days  0:57:30.007
2456705.38340 |    0.04125 | 2456714.40612 |    0.04004 |     16 February 2014 21:12:05.83 +/-    0 days  0:59:23.721  |    25 February 2014 21:44:48.53 +/-    0 days  0:57:39.460
2456723.58440 |    0.04136 | 2456732.60712 |    0.04015 |         7 March 2014 02:01:32.52 +/-    0 days  0:59:33.583  |       16 March 2014 02:34:15.22 +/-    0 days  0:57:48.915
2456741.78541 |    0.04148 | 2456750.80812 |    0.04026 |        25 March 2014 06:50:59.21 +/-    0 days  0:59:43.860  |        3 April 2014 07:23:41.90 +/-    0 days  0:57:58.772
