#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 33283 b | 2456345.4617 | 18.1951 | 0.0022 | 13017.24 | 0.27 | 0.352 | 0.040 | 149.6 | 6.0 | 19.7 | 1.0 | -3.8 | 3.6 | 0.0 | 0.0 |   13020.5085
#RA | DEC | T14 | UT14 | V
05 08 00.976 | -26 47 50.49 |           NaN |       0.00000 |       8.05000
#Ephemerides calculated on: Mon Feb 11 20:09:25 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456345.46173 |    0.33715 | 2456351.03845 |    0.41955 |     21 February 2013 23:04:53.88 +/-    0 days  8:05:29.438  |    27 February 2013 12:55:22.35 +/-    0 days 10:04: 9.483
2456363.65685 |    0.33910 | 2456369.23357 |    0.42089 |        12 March 2013 03:45:51.66 +/-    0 days  8:08:18.149  |       17 March 2013 17:36:20.13 +/-    0 days 10:06: 5.035
2456381.85196 |    0.34097 | 2456387.42868 |    0.42222 |        30 March 2013 08:26:49.43 +/-    0 days  8:10:59.827  |        4 April 2013 22:17:17.90 +/-    0 days 10:08: 0.191
2456400.04707 |    0.34286 | 2456405.62379 |    0.42370 |        17 April 2013 13:07:47.20 +/-    0 days  8:13:42.689  |       23 April 2013 02:58:15.67 +/-    0 days 10:10: 7.752
2456418.24219 |    0.34472 | 2456423.81891 |    0.42506 |           5 May 2013 17:48:44.98 +/-    0 days  8:16:23.732  |         11 May 2013 07:39:13.45 +/-    0 days 10:12: 5.420
2456436.43730 |    0.34661 | 2456442.01402 |    0.42646 |          23 May 2013 22:29:42.75 +/-    0 days  8:19: 6.826  |         29 May 2013 12:20:11.22 +/-    0 days 10:14: 6.401
2456454.63241 |    0.34854 | 2456460.20913 |    0.42790 |         11 June 2013 03:10:40.53 +/-    0 days  8:21:53.541  |        16 June 2013 17:01:08.99 +/-    0 days 10:16:10.938
2456472.82753 |    0.35042 | 2456478.40424 |    0.42924 |         29 June 2013 07:51:38.30 +/-    0 days  8:24:35.948  |         4 July 2013 21:42:06.77 +/-    0 days 10:18: 5.988
2456491.02264 |    0.35222 | 2456496.59936 |    0.43069 |         17 July 2013 12:32:36.07 +/-    0 days  8:27:11.695  |        23 July 2013 02:23:04.54 +/-    0 days 10:20:11.462
2456509.21775 |    0.35410 | 2456514.79447 |    0.43216 |        4 August 2013 17:13:33.85 +/-    0 days  8:29:54.540  |      10 August 2013 07:04:02.31 +/-    0 days 10:22:18.276
2456527.41287 |    0.35599 | 2456532.98958 |    0.43362 |       22 August 2013 21:54:31.62 +/-    0 days  8:32:37.877  |      28 August 2013 11:45:00.09 +/-    0 days 10:24:24.405
2456545.60798 |    0.35789 | 2456551.18470 |    0.43515 |    10 September 2013 02:35:29.39 +/-    0 days  8:35:21.949  |   15 September 2013 16:25:57.86 +/-    0 days 10:26:37.143
2456563.80309 |    0.35981 | 2456569.37981 |    0.43663 |    28 September 2013 07:16:27.17 +/-    0 days  8:38: 7.285  |      3 October 2013 21:06:55.63 +/-    0 days 10:28:44.629
2456581.99821 |    0.36178 | 2456587.57492 |    0.43813 |      16 October 2013 11:57:24.94 +/-    0 days  8:40:58.208  |     22 October 2013 01:47:53.41 +/-    0 days 10:30:54.559
2456600.19332 |    0.36373 | 2456605.77004 |    0.43964 |      3 November 2013 16:38:22.71 +/-    0 days  8:43:46.167  |     9 November 2013 06:28:51.18 +/-    0 days 10:33: 4.489
2456618.38843 |    0.36566 | 2456623.96515 |    0.44116 |     21 November 2013 21:19:20.49 +/-    0 days  8:46:33.250  |    27 November 2013 11:09:48.95 +/-    0 days 10:35:16.135
2456636.58354 |    0.36758 | 2456642.16026 |    0.44269 |     10 December 2013 02:00:18.26 +/-    0 days  8:49:18.680  |    15 December 2013 15:50:46.73 +/-    0 days 10:37:28.002
2456654.77866 |    0.36953 | 2456660.35538 |    0.44410 |     28 December 2013 06:41:16.03 +/-    0 days  8:52: 7.744  |      2 January 2014 20:31:44.50 +/-    0 days 10:39:29.892
2456672.97377 |    0.37148 | 2456678.55049 |    0.44567 |      15 January 2014 11:22:13.81 +/-    0 days  8:54:55.567  |     21 January 2014 01:12:42.28 +/-    0 days 10:41:45.986
2456691.16888 |    0.37341 | 2456696.74560 |    0.44716 |      2 February 2014 16:03:11.58 +/-    0 days  8:57:42.494  |     8 February 2014 05:53:40.05 +/-    0 days 10:43:54.709
2456709.36400 |    0.37531 | 2456714.94072 |    0.44868 |     20 February 2014 20:44:09.35 +/-    0 days  9:00:26.463  |    26 February 2014 10:34:37.82 +/-    0 days 10:46: 5.673
2456727.55911 |    0.37721 | 2456733.13583 |    0.45015 |        11 March 2014 01:25:07.13 +/-    0 days  9:03:10.515  |       16 March 2014 15:15:35.60 +/-    0 days 10:48:13.105
2456745.75422 |    0.37913 | 2456751.33094 |    0.45172 |        29 March 2014 06:06:04.90 +/-    0 days  9:05:57.127  |        3 April 2014 19:56:33.37 +/-    0 days 10:50:28.532
2456763.94934 |    0.38108 | 2456769.52605 |    0.45324 |        16 April 2014 10:47:02.68 +/-    0 days  9:08:45.643  |       22 April 2014 00:37:31.14 +/-    0 days 10:52:39.540
2456782.14445 |    0.38300 | 2456787.72117 |    0.45482 |           4 May 2014 15:28:00.45 +/-    0 days  9:11:31.049  |         10 May 2014 05:18:28.92 +/-    0 days 10:54:56.231
2456800.33956 |    0.38497 | 2456805.91628 |    0.45628 |          22 May 2014 20:08:58.22 +/-    0 days  9:14:21.190  |         28 May 2014 09:59:26.69 +/-    0 days 10:57: 2.527
2456818.53468 |    0.38695 | 2456824.11139 |    0.45781 |         10 June 2014 00:49:55.00 +/-    0 days  9:17:12.110  |        15 June 2014 14:40:24.46 +/-    0 days 10:59:14.735
2456836.72979 |    0.38885 | 2456842.30651 |    0.45947 |         28 June 2014 05:30:53.77 +/-    0 days  9:19:56.670  |         3 July 2014 19:21:22.24 +/-    0 days 11:01:38.263
2456854.92490 |    0.39077 | 2456860.50162 |    0.46105 |         16 July 2014 10:11:51.54 +/-    0 days  9:22:42.928  |        22 July 2014 00:02:20.01 +/-    0 days 11:03:54.724
2456873.12002 |    0.39272 | 2456878.69673 |    0.46264 |        3 August 2014 14:52:49.32 +/-    0 days  9:25:31.156  |       9 August 2014 04:43:17.78 +/-    0 days 11:06:11.793
2456891.31513 |    0.39471 | 2456896.89185 |    0.46413 |       21 August 2014 19:33:47.09 +/-    0 days  9:28:22.687  |      27 August 2014 09:24:15.56 +/-    0 days 11:08:20.637
2456909.51024 |    0.39662 | 2456915.08696 |    0.46563 |     9 September 2014 00:14:44.86 +/-    0 days  9:31: 7.673  |   14 September 2014 14:05:13.33 +/-    0 days 11:10:30.376
2456927.70535 |    0.39854 | 2456933.28207 |    0.46717 |    27 September 2014 04:55:42.64 +/-    0 days  9:33:53.739  |      2 October 2014 18:46:11.10 +/-    0 days 11:12:43.578
