#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 4308 b | 2456338.0966 | 15.561 | 0.017 | 13307.3 | 1.6 | 0.121 | 0.060 | 186 | 40 | 4.33 | 0.32 | 95245.67 | 0.20 | 0.0 | 0.0 |   13310.8532
#RA | DEC | T14 | UT14 | V
00 44 39.044 | -65 38 51.78 |           NaN |       0.00000 |       6.55000
#Ephemerides calculated on: Tue Feb 12 17:54:41 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456338.09658 |    3.48124 | 2456344.68871 |    3.34687 |     14 February 2013 14:19:04.28 +/-    3 days 11:32:59.305  |    21 February 2013 04:31:44.72 +/-    3 days  8:19:29.400
2456353.65736 |    3.49851 | 2456360.24949 |    3.36420 |         2 March 2013 03:46:35.55 +/-    3 days 11:57:50.890  |        8 March 2013 17:59:15.99 +/-    3 days  8:44:26.972
2456369.21813 |    3.51580 | 2456375.81027 |    3.38153 |        17 March 2013 17:14:06.82 +/-    3 days 12:22:45.312  |       24 March 2013 07:26:47.26 +/-    3 days  9:09:24.243
2456384.77891 |    3.53310 | 2456391.37105 |    3.39882 |         2 April 2013 06:41:38.09 +/-    3 days 12:47:39.574  |        8 April 2013 20:54:18.53 +/-    3 days  9:34:18.329
2456400.33969 |    3.55039 | 2456406.93183 |    3.41612 |        17 April 2013 20:09:09.36 +/-    3 days 13:12:33.489  |       24 April 2013 10:21:49.80 +/-    3 days  9:59:12.734
2456415.90047 |    3.56767 | 2456422.49260 |    3.43346 |           3 May 2013 09:36:40.63 +/-    3 days 13:37:26.826  |          9 May 2013 23:49:21.07 +/-    3 days 10:24:11.305
2456431.46125 |    3.58496 | 2456438.05338 |    3.45081 |          18 May 2013 23:04:11.90 +/-    3 days 14:02:20.708  |         25 May 2013 13:16:52.34 +/-    3 days 10:49: 9.888
2456447.02203 |    3.60223 | 2456453.61416 |    3.46814 |          3 June 2013 12:31:43.17 +/-    3 days 14:27:13.011  |        10 June 2013 02:44:23.61 +/-    3 days 11:14: 7.213
2456462.58281 |    3.61950 | 2456469.17494 |    3.48546 |         19 June 2013 01:59:14.45 +/-    3 days 14:52: 4.528  |        25 June 2013 16:11:54.88 +/-    3 days 11:39: 3.556
2456478.14358 |    3.63677 | 2456484.73572 |    3.50278 |          4 July 2013 15:26:45.72 +/-    3 days 15:16:57.045  |        11 July 2013 05:39:26.15 +/-    3 days 12:04: 0.005
2456493.70436 |    3.65407 | 2456500.29650 |    3.52010 |         20 July 2013 04:54:16.99 +/-    3 days 15:41:51.546  |        26 July 2013 19:06:57.42 +/-    3 days 12:28:56.546
2456509.26514 |    3.67139 | 2456515.85728 |    3.53742 |        4 August 2013 18:21:48.26 +/-    3 days 16:06:48.224  |      11 August 2013 08:34:28.69 +/-    3 days 12:53:52.668
2456524.82592 |    3.68871 | 2456531.41806 |    3.55473 |       20 August 2013 07:49:19.53 +/-    3 days 16:31:44.287  |      26 August 2013 22:01:59.97 +/-    3 days 13:18:48.256
2456540.38670 |    3.70600 | 2456546.97883 |    3.57203 |     4 September 2013 21:16:50.80 +/-    3 days 16:56:38.304  |   11 September 2013 11:29:31.24 +/-    3 days 13:43:43.398
2456555.94748 |    3.72329 | 2456562.53961 |    3.58933 |    20 September 2013 10:44:22.07 +/-    3 days 17:21:32.416  |   27 September 2013 00:57:02.51 +/-    3 days 14:08:37.953
2456571.50826 |    3.74058 | 2456578.10039 |    3.60662 |       6 October 2013 00:11:53.34 +/-    3 days 17:46:25.790  |     12 October 2013 14:24:33.78 +/-    3 days 14:33:32.149
2456587.06903 |    3.75785 | 2456593.66117 |    3.62393 |      21 October 2013 13:39:24.61 +/-    3 days 18:11:18.324  |     28 October 2013 03:52:05.05 +/-    3 days 14:58:27.155
2456602.62981 |    3.77512 | 2456609.22195 |    3.64123 |      6 November 2013 03:06:55.88 +/-    3 days 18:36:10.472  |    12 November 2013 17:19:36.32 +/-    3 days 15:23:22.211
2456618.19059 |    3.79239 | 2456624.78273 |    3.65854 |     21 November 2013 16:34:27.15 +/-    3 days 19:01: 2.769  |    28 November 2013 06:47:07.59 +/-    3 days 15:48:17.985
2456633.75137 |    3.80967 | 2456640.34351 |    3.67585 |      7 December 2013 06:01:58.42 +/-    3 days 19:25:55.212  |    13 December 2013 20:14:38.86 +/-    3 days 16:13:13.830
2456649.31215 |    3.82695 | 2456655.90428 |    3.69317 |     22 December 2013 19:29:29.70 +/-    3 days 19:50:48.117  |    29 December 2013 09:42:10.13 +/-    3 days 16:38: 9.558
2456664.87293 |    3.84423 | 2456671.46506 |    3.71049 |       7 January 2014 08:57:00.97 +/-    3 days 20:15:41.537  |     13 January 2014 23:09:41.40 +/-    3 days 17:03: 6.211
2456680.43371 |    3.86152 | 2456687.02584 |    3.72783 |      22 January 2014 22:24:32.24 +/-    3 days 20:40:34.928  |     29 January 2014 12:37:12.67 +/-    3 days 17:28: 4.233
2456695.99449 |    3.87879 | 2456702.58662 |    3.74517 |      7 February 2014 11:52:03.51 +/-    3 days 21:05:27.570  |    14 February 2014 02:04:43.94 +/-    3 days 17:53: 2.870
2456711.55526 |    3.89608 | 2456718.14740 |    3.76252 |     23 February 2014 01:19:34.78 +/-    3 days 21:30:21.172  |        1 March 2014 15:32:15.22 +/-    3 days 18:18: 1.884
2456727.11604 |    3.91337 | 2456733.70818 |    3.77986 |        10 March 2014 14:47:06.05 +/-    3 days 21:55:15.000  |       17 March 2014 04:59:46.49 +/-    3 days 18:43: 0.236
2456742.67682 |    3.93065 | 2456749.26896 |    3.79719 |        26 March 2014 04:14:37.32 +/-    3 days 22:20: 8.290  |        1 April 2014 18:27:17.76 +/-    3 days 19:07:57.066
