#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 43691 b | 2456356.9830 | 37.0001 | 0.0036 | 14046.4 | 1.1 | 0.071 | 0.017 | 287 | 11 | 128.7 | 1.7 | -28999.7 | 3.6 | 0.0 | 0.0 |   14045.0586
#RA | DEC | T14 | UT14 | V
06 19 34.658 | +41 05 32.77 |           NaN |       0.00000 |       8.45000
#Ephemerides calculated on: Tue Feb  5 19:40:24 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456356.98298 |    0.25915 | 2456375.96080 |    0.17979 |         5 March 2013 11:35:29.68 +/-    0 days  6:13:10.909  |       24 March 2013 11:03:32.96 +/-    0 days  4:18:54.099
2456393.98307 |    0.26115 | 2456412.96089 |    0.18205 |        11 April 2013 11:35:37.44 +/-    0 days  6:16: 3.387  |       30 April 2013 11:03:40.72 +/-    0 days  4:22: 9.121
2456430.98316 |    0.26299 | 2456449.96098 |    0.18432 |          18 May 2013 11:35:45.20 +/-    0 days  6:18:42.474  |         6 June 2013 11:03:48.48 +/-    0 days  4:25:24.901
2456467.98325 |    0.26500 | 2456486.96107 |    0.18669 |         24 June 2013 11:35:52.96 +/-    0 days  6:21:35.729  |        13 July 2013 11:03:56.24 +/-    0 days  4:28:49.785
2456504.98334 |    0.26697 | 2456523.96116 |    0.18914 |         31 July 2013 11:36:00.71 +/-    0 days  6:24:25.777  |      19 August 2013 11:04:03.00 +/-    0 days  4:32:21.474
2456541.98343 |    0.26903 | 2456560.96125 |    0.19148 |     6 September 2013 11:36:08.47 +/-    0 days  6:27:24.461  |   25 September 2013 11:04:11.75 +/-    0 days  4:35:43.758
2456578.98352 |    0.27108 | 2456597.96134 |    0.19399 |      13 October 2013 11:36:16.23 +/-    0 days  6:30:21.505  |     1 November 2013 11:04:19.51 +/-    0 days  4:39:20.695
2456615.98361 |    0.27322 | 2456634.96143 |    0.19653 |     19 November 2013 11:36:23.99 +/-    0 days  6:33:25.803  |     8 December 2013 11:04:27.27 +/-    0 days  4:42:59.893
2456652.98370 |    0.27528 | 2456671.96152 |    0.19909 |     26 December 2013 11:36:31.75 +/-    0 days  6:36:24.380  |     14 January 2014 11:04:35.03 +/-    0 days  4:46:41.756
2456689.98379 |    0.27747 | 2456708.96161 |    0.20165 |      1 February 2014 11:36:39.50 +/-    0 days  6:39:33.489  |    20 February 2014 11:04:42.79 +/-    0 days  4:50:22.389
2456726.98388 |    0.27964 | 2456745.96170 |    0.20429 |        10 March 2014 11:36:47.26 +/-    0 days  6:42:40.891  |       29 March 2014 11:04:50.54 +/-    0 days  4:54:11.067
2456763.98397 |    0.28185 | 2456782.96179 |    0.20700 |        16 April 2014 11:36:55.02 +/-    0 days  6:45:51.776  |          5 May 2014 11:04:58.30 +/-    0 days  4:58: 5.210
2456800.98406 |    0.28413 | 2456819.96188 |    0.20968 |          23 May 2014 11:37:02.78 +/-    0 days  6:49: 8.552  |        11 June 2014 11:05:06.06 +/-    0 days  5:01:56.166
2456837.98415 |    0.28654 | 2456856.96197 |    0.21240 |         29 June 2014 11:37:10.54 +/-    0 days  6:52:37.379  |        18 July 2014 11:05:13.82 +/-    0 days  5:05:51.392
2456874.98424 |    0.28886 | 2456893.96206 |    0.21512 |        5 August 2014 11:37:18.29 +/-    0 days  6:55:57.569  |      24 August 2014 11:05:21.58 +/-    0 days  5:09:45.955
2456911.98433 |    0.29135 | 2456930.96215 |    0.21792 |    11 September 2014 11:37:26.05 +/-    0 days  6:59:32.566  |   30 September 2014 11:05:29.33 +/-    0 days  5:13:48.037
2456948.98442 |    0.29366 | 2456967.96223 |    0.22063 |      18 October 2014 11:37:33.81 +/-    0 days  7:02:51.840  |     6 November 2014 11:05:37.09 +/-    0 days  5:17:42.711
2456985.98451 |    0.29597 | 2457004.96232 |    0.22347 |     24 November 2014 11:37:41.57 +/-    0 days  7:06:12.057  |    13 December 2014 11:05:44.85 +/-    0 days  5:21:47.979
2457022.98460 |    0.29848 | 2457041.96241 |    0.22622 |     31 December 2014 11:37:49.33 +/-    0 days  7:09:48.517  |     19 January 2015 11:05:52.61 +/-    0 days  5:25:45.364
2457059.98469 |    0.30089 | 2457078.96250 |    0.22916 |      6 February 2015 11:37:57.08 +/-    0 days  7:13:16.906  |    25 February 2015 11:06:00.37 +/-    0 days  5:29:59.767
2457096.98478 |    0.30337 | 2457115.96259 |    0.23201 |        15 March 2015 11:38:04.84 +/-    0 days  7:16:51.516  |        3 April 2015 11:06:08.12 +/-    0 days  5:34: 5.785
2457133.98487 |    0.30591 | 2457152.96268 |    0.23488 |        21 April 2015 11:38:12.60 +/-    0 days  7:20:30.219  |         10 May 2015 11:06:15.88 +/-    0 days  5:38:13.923
2457170.98496 |    0.30849 | 2457189.96277 |    0.23784 |          28 May 2015 11:38:20.36 +/-    0 days  7:24:13.298  |        16 June 2015 11:06:23.64 +/-    0 days  5:42:29.009
2457207.98505 |    0.31102 | 2457226.96286 |    0.24074 |          4 July 2015 11:38:28.12 +/-    0 days  7:27:52.194  |        23 July 2015 11:06:31.40 +/-    0 days  5:46:40.146
2457244.98514 |    0.31381 | 2457263.96295 |    0.24363 |       10 August 2015 11:38:35.87 +/-    0 days  7:31:52.797  |      29 August 2015 11:06:39.16 +/-    0 days  5:50:49.712
2457281.98523 |    0.31645 | 2457300.96304 |    0.24661 |    16 September 2015 11:38:43.63 +/-    0 days  7:35:41.551  |      5 October 2015 11:06:46.91 +/-    0 days  5:55: 7.528
2457318.98532 |    0.31899 | 2457337.96313 |    0.24950 |      23 October 2015 11:38:51.39 +/-    0 days  7:39:20.400  |    11 November 2015 11:06:54.67 +/-    0 days  5:59:17.187
2457355.98541 |    0.32175 | 2457374.96322 |    0.25249 |     29 November 2015 11:38:59.15 +/-    0 days  7:43:19.231  |    18 December 2015 11:07:02.43 +/-    0 days  6:03:35.127
2457392.98550 |    0.32443 | 2457411.96331 |    0.25545 |       5 January 2016 11:39:06.91 +/-    0 days  7:47:10.501  |     24 January 2016 11:07:10.19 +/-    0 days  6:07:51.302
2457429.98559 |    0.32703 | 2457448.96340 |    0.25857 |     11 February 2016 11:39:14.66 +/-    0 days  7:50:55.761  |        1 March 2016 11:07:17.95 +/-    0 days  6:12:20.505
2457466.98568 |    0.32966 | 2457485.96349 |    0.26144 |        19 March 2016 11:39:22.42 +/-    0 days  7:54:42.631  |        7 April 2016 11:07:25.70 +/-    0 days  6:16:28.830
2457503.98577 |    0.33222 | 2457522.96358 |    0.26438 |        25 April 2016 11:39:30.18 +/-    0 days  7:58:24.173  |         14 May 2016 11:07:33.46 +/-    0 days  6:20:42.775
2457540.98586 |    0.33488 | 2457559.96367 |    0.26754 |          1 June 2016 11:39:37.94 +/-    0 days  8:02:13.629  |        20 June 2016 11:07:41.22 +/-    0 days  6:25:15.682
2457577.98595 |    0.33768 | 2457596.96376 |    0.27069 |          8 July 2016 11:39:45.70 +/-    0 days  8:06:15.933  |        27 July 2016 11:07:48.98 +/-    0 days  6:29:47.434
2457614.98604 |    0.34034 | 2457633.96385 |    0.27389 |       14 August 2016 11:39:53.45 +/-    0 days  8:10: 5.503  |    2 September 2016 11:07:56.74 +/-    0 days  6:34:24.047
2457651.98613 |    0.34310 | 2457670.96394 |    0.27708 |    20 September 2016 11:40:01.21 +/-    0 days  8:14: 3.901  |      9 October 2016 11:08:04.49 +/-    0 days  6:39: 0.007
2457688.98621 |    0.34593 | 2457707.96403 |    0.28011 |      27 October 2016 11:40:08.97 +/-    0 days  8:18: 8.514  |    15 November 2016 11:08:12.25 +/-    0 days  6:43:21.614
2457725.98630 |    0.34865 | 2457744.96412 |    0.28324 |      3 December 2016 11:40:16.73 +/-    0 days  8:22: 3.428  |    22 December 2016 11:08:20.01 +/-    0 days  6:47:51.512
2457762.98639 |    0.35154 | 2457781.96421 |    0.28631 |       9 January 2017 11:40:24.49 +/-    0 days  8:26:12.997  |     28 January 2017 11:08:27.77 +/-    0 days  6:52:17.054
2457799.98648 |    0.35442 | 2457818.96430 |    0.28936 |     15 February 2017 11:40:32.24 +/-    0 days  8:30:21.934  |        6 March 2017 11:08:35.53 +/-    0 days  6:56:40.427
2457836.98657 |    0.35734 | 2457855.96439 |    0.29253 |        24 March 2017 11:40:40.00 +/-    0 days  8:34:34.211  |       12 April 2017 11:08:43.28 +/-    0 days  7:01:14.184
2457873.98666 |    0.36021 | 2457892.96448 |    0.29558 |        30 April 2017 11:40:47.76 +/-    0 days  8:38:42.273  |         19 May 2017 11:08:51.04 +/-    0 days  7:05:38.306
2457910.98675 |    0.36313 | 2457929.96457 |    0.29872 |          6 June 2017 11:40:55.52 +/-    0 days  8:42:54.328  |        25 June 2017 11:08:58.80 +/-    0 days  7:10: 9.380
2457947.98684 |    0.36611 | 2457966.96466 |    0.30194 |         13 July 2017 11:41:03.28 +/-    0 days  8:47:12.078  |       1 August 2017 11:09:06.56 +/-    0 days  7:14:47.238
2457984.98693 |    0.36896 | 2458003.96475 |    0.30520 |       19 August 2017 11:41:11.03 +/-    0 days  8:51:17.761  |    7 September 2017 11:09:14.32 +/-    0 days  7:19:29.260
2458021.98702 |    0.37188 | 2458040.96484 |    0.30831 |    25 September 2017 11:41:18.79 +/-    0 days  8:55:30.012  |     14 October 2017 11:09:22.08 +/-    0 days  7:23:58.292
2458058.98711 |    0.37461 | 2458077.96493 |    0.31164 |      1 November 2017 11:41:26.55 +/-    0 days  8:59:26.427  |    20 November 2017 11:09:29.83 +/-    0 days  7:28:46.076
2458095.98720 |    0.37754 | 2458114.96502 |    0.31487 |      8 December 2017 11:41:34.31 +/-    0 days  9:03:39.831  |    27 December 2017 11:09:37.59 +/-    0 days  7:33:24.798
2458132.98729 |    0.38037 | 2458151.96511 |    0.31816 |      14 January 2018 11:41:42.07 +/-    0 days  9:07:43.627  |     2 February 2018 11:09:45.35 +/-    0 days  7:38: 9.008
2458169.98738 |    0.38323 | 2458188.96520 |    0.32139 |     20 February 2018 11:41:49.82 +/-    0 days  9:11:51.324  |       11 March 2018 11:09:53.11 +/-    0 days  7:42:48.475
2458206.98747 |    0.38620 | 2458225.96529 |    0.32453 |        29 March 2018 11:41:57.58 +/-    0 days  9:16: 8.040  |       17 April 2018 11:10:00.87 +/-    0 days  7:47:19.633
2458243.98756 |    0.38924 | 2458262.96538 |    0.32768 |           5 May 2018 11:42:05.34 +/-    0 days  9:20:30.094  |         24 May 2018 11:10:08.62 +/-    0 days  7:51:51.124
2458280.98765 |    0.39226 | 2458299.96547 |    0.33087 |         11 June 2018 11:42:13.10 +/-    0 days  9:24:51.052  |        30 June 2018 11:10:16.38 +/-    0 days  7:56:26.921
2458317.98774 |    0.39529 | 2458336.96556 |    0.33404 |         18 July 2018 11:42:20.86 +/-    0 days  9:29:12.692  |       6 August 2018 11:10:24.14 +/-    0 days  8:01: 0.782
2458354.98783 |    0.39829 | 2458373.96565 |    0.33729 |       24 August 2018 11:42:28.62 +/-    0 days  9:33:32.561  |   12 September 2018 11:10:31.90 +/-    0 days  8:05:41.998
2458391.98792 |    0.40127 | 2458410.96574 |    0.34058 |    30 September 2018 11:42:36.37 +/-    0 days  9:37:49.347  |     19 October 2018 11:10:39.66 +/-    0 days  8:10:26.389
2458428.98801 |    0.40434 | 2458447.96583 |    0.34387 |      6 November 2018 11:42:44.13 +/-    0 days  9:42:14.875  |    25 November 2018 11:10:47.41 +/-    0 days  8:15:10.280
2458465.98810 |    0.40746 | 2458484.96592 |    0.34718 |     13 December 2018 11:42:51.89 +/-    0 days  9:46:44.227  |      1 January 2019 11:10:55.17 +/-    0 days  8:19:56.552
2458502.98819 |    0.41053 | 2458521.96601 |    0.35057 |      19 January 2019 11:42:59.65 +/-    0 days  9:51: 9.816  |     7 February 2019 11:11:02.93 +/-    0 days  8:24:49.016
2458539.98828 |    0.41351 | 2458558.96610 |    0.35386 |     25 February 2019 11:43:07.41 +/-    0 days  9:55:27.418  |       16 March 2019 11:11:10.69 +/-    0 days  8:29:33.826
2458576.98837 |    0.41659 | 2458595.96619 |    0.35707 |         3 April 2019 11:43:15.16 +/-    0 days  9:59:53.039  |       22 April 2019 11:11:18.45 +/-    0 days  8:34:11.069
2458613.98846 |    0.41970 | 2458632.96628 |    0.36041 |          10 May 2019 11:43:22.92 +/-    0 days 10:04:22.228  |         29 May 2019 11:11:26.20 +/-    0 days  8:38:59.822
2458650.98855 |    0.42280 | 2458669.96637 |    0.36378 |         16 June 2019 11:43:30.68 +/-    0 days 10:08:49.973  |         5 July 2019 11:11:33.96 +/-    0 days  8:43:50.334
2458687.98864 |    0.42596 | 2458706.96646 |    0.36712 |         23 July 2019 11:43:38.44 +/-    0 days 10:13:23.339  |      11 August 2019 11:11:41.72 +/-    0 days  8:48:38.798
2458724.98873 |    0.42917 | 2458743.96654 |    0.37048 |       29 August 2019 11:43:46.20 +/-    0 days 10:18: 0.663  |   17 September 2019 11:11:49.48 +/-    0 days  8:53:29.688
2458761.98882 |    0.43222 | 2458780.96663 |    0.37386 |       5 October 2019 11:43:53.95 +/-    0 days 10:22:23.767  |     24 October 2019 11:11:57.24 +/-    0 days  8:58:21.574
2458798.98891 |    0.43530 | 2458817.96672 |    0.37724 |     11 November 2019 11:44:01.71 +/-    0 days 10:26:49.964  |    30 November 2019 11:12:04.99 +/-    0 days  9:03:13.204
2458835.98900 |    0.43831 | 2458854.96681 |    0.38065 |     18 December 2019 11:44:09.47 +/-    0 days 10:31: 9.760  |      6 January 2020 11:12:12.75 +/-    0 days  9:08: 8.462
2458872.98909 |    0.44141 | 2458891.96690 |    0.38406 |      24 January 2020 11:44:17.23 +/-    0 days 10:35:37.947  |    12 February 2020 11:12:20.51 +/-    0 days  9:13: 2.643
2458909.98918 |    0.44450 | 2458928.96699 |    0.38743 |         1 March 2020 11:44:24.99 +/-    0 days 10:40: 5.024  |       20 March 2020 11:12:28.27 +/-    0 days  9:17:53.721
2458946.98927 |    0.44769 | 2458965.96708 |    0.39080 |         7 April 2020 11:44:32.74 +/-    0 days 10:44:40.280  |       26 April 2020 11:12:36.03 +/-    0 days  9:22:44.819
2458983.98936 |    0.45082 | 2459002.96717 |    0.39411 |          14 May 2020 11:44:40.50 +/-    0 days 10:49:11.153  |         2 June 2020 11:12:43.78 +/-    0 days  9:27:30.769
2459020.98945 |    0.45396 | 2459039.96726 |    0.39749 |         20 June 2020 11:44:48.26 +/-    0 days 10:53:42.035  |         9 July 2020 11:12:51.54 +/-    0 days  9:32:23.158
2459057.98954 |    0.45717 | 2459076.96735 |    0.40089 |         27 July 2020 11:44:56.02 +/-    0 days 10:58:19.221  |      15 August 2020 11:12:59.30 +/-    0 days  9:37:17.279
2459094.98963 |    0.46026 | 2459113.96744 |    0.40437 |     2 September 2020 11:45:03.78 +/-    0 days 11:02:46.135  |   21 September 2020 11:13:07.06 +/-    0 days  9:42:17.687
2459131.98972 |    0.46354 | 2459150.96753 |    0.40778 |       9 October 2020 11:45:11.53 +/-    0 days 11:07:29.790  |     28 October 2020 11:13:14.82 +/-    0 days  9:47:11.762
2459168.98981 |    0.46680 | 2459187.96762 |    0.41124 |     15 November 2020 11:45:19.29 +/-    0 days 11:12:11.356  |     4 December 2020 11:13:22.57 +/-    0 days  9:52:10.927
2459205.98990 |    0.46998 | 2459224.96771 |    0.41464 |     22 December 2020 11:45:27.05 +/-    0 days 11:16:46.181  |     10 January 2021 11:13:30.33 +/-    0 days  9:57: 4.623
2459242.98999 |    0.47313 | 2459261.96780 |    0.41807 |      28 January 2021 11:45:34.81 +/-    0 days 11:21:18.434  |    16 February 2021 11:13:38.09 +/-    0 days 10:02: 1.583
2459279.99008 |    0.47625 | 2459298.96789 |    0.42156 |         6 March 2021 11:45:42.57 +/-    0 days 11:25:48.231  |       25 March 2021 11:13:45.85 +/-    0 days 10:07: 2.935
2459316.99017 |    0.47948 | 2459335.96798 |    0.42497 |        12 April 2021 11:45:50.32 +/-    0 days 11:30:26.866  |          1 May 2021 11:13:53.61 +/-    0 days 10:11:57.198
