#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 43691 b | 2456023.8402 | 37.0001 | 0.0037 | 14046.16 | 0.85 | 0.074 | 0.016 | 285.4 | 8.2 | 130.5 | 1.7 | -28999.8 | 3.9 | 0.0 | 0.0 |   14045.0586
#RA | DEC | T14 | UT14 | V
06 19 34.658 | +41 05 32.77 |           NaN |       0.00000 |       8.45000
#Ephemerides calculated on: Thu Mar 29 17:59:44 2012
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456023.84015 |    0.20482 | 2456042.80163 |    0.18018 |         6 April 2012 08:09:49.07 +/-    0 days  4:54:56.357  |       25 April 2012 07:14:21.12 +/-    0 days  4:19:27.162
2456060.84026 |    0.20698 | 2456079.80174 |    0.18280 |          13 May 2012 08:09:58.04 +/-    0 days  4:58: 2.992  |         1 June 2012 07:14:30.09 +/-    0 days  4:23:14.102
2456097.84036 |    0.20929 | 2456116.80184 |    0.18550 |         19 June 2012 08:10:07.00 +/-    0 days  5:01:22.615  |         8 July 2012 07:14:39.06 +/-    0 days  4:27: 7.563
2456134.84046 |    0.21163 | 2456153.80194 |    0.18813 |         26 July 2012 08:10:15.97 +/-    0 days  5:04:45.258  |      14 August 2012 07:14:48.02 +/-    0 days  4:30:54.830
2456171.84057 |    0.21403 | 2456190.80205 |    0.19086 |     1 September 2012 08:10:24.94 +/-    0 days  5:08:11.966  |   20 September 2012 07:14:56.99 +/-    0 days  4:34:50.283
2456208.84067 |    0.21639 | 2456227.80215 |    0.19352 |       8 October 2012 08:10:33.90 +/-    0 days  5:11:35.743  |     27 October 2012 07:15:05.95 +/-    0 days  4:38:39.876
2456245.84077 |    0.21888 | 2456264.80226 |    0.19625 |     14 November 2012 08:10:42.87 +/-    0 days  5:15:11.212  |     3 December 2012 07:15:14.92 +/-    0 days  4:42:36.082
2456282.84088 |    0.22139 | 2456301.80236 |    0.19905 |     21 December 2012 08:10:51.83 +/-    0 days  5:18:48.249  |      9 January 2013 07:15:23.88 +/-    0 days  4:46:37.736
2456319.84098 |    0.22391 | 2456338.80246 |    0.20175 |      27 January 2013 08:11:00.80 +/-    0 days  5:22:25.537  |    15 February 2013 07:15:32.85 +/-    0 days  4:50:30.922
2456356.84109 |    0.22638 | 2456375.80257 |    0.20460 |         5 March 2013 08:11:09.76 +/-    0 days  5:25:59.205  |       24 March 2013 07:15:41.81 +/-    0 days  4:54:37.686
2456393.84119 |    0.22900 | 2456412.80267 |    0.20746 |        11 April 2013 08:11:18.73 +/-    0 days  5:29:45.853  |       30 April 2013 07:15:50.78 +/-    0 days  4:58:44.901
2456430.84129 |    0.23171 | 2456449.80277 |    0.21021 |          18 May 2013 08:11:27.69 +/-    0 days  5:33:39.331  |         6 June 2013 07:15:59.74 +/-    0 days  5:02:42.317
2456467.84140 |    0.23433 | 2456486.80288 |    0.21326 |         24 June 2013 08:11:36.66 +/-    0 days  5:37:26.066  |        13 July 2013 07:16:08.71 +/-    0 days  5:07: 5.301
2456504.84150 |    0.23698 | 2456523.80298 |    0.21619 |         31 July 2013 08:11:45.62 +/-    0 days  5:41:15.422  |      19 August 2013 07:16:17.67 +/-    0 days  5:11:18.728
2456541.84160 |    0.23963 | 2456560.80309 |    0.21912 |     6 September 2013 08:11:54.59 +/-    0 days  5:45: 4.048  |   25 September 2013 07:16:26.64 +/-    0 days  5:15:31.599
