#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 52265 b | 2456035.5904 | 119.293 | 0.026 | 10834.7 | 1.2 | 0.280 | 0.018 | 249.1 | 4.8 | 42.13 | 0.89 | -0.2 | 1.0 | 0.0 | 0.0 |   10838.0897
#RA | DEC | T14 | UT14 | V
07 00 18.104 | -05 22 02.49 |           NaN |       0.00000 |       6.29000
#Ephemerides calculated on: Thu Mar 29 18:02:39 2012
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456035.59038 |    1.26595 | 2456087.40443 |    0.93804 |        18 April 2012 02:10:08.74 +/-    1 days  6:22:57.773  |         8 June 2012 21:42:22.73 +/-    0 days 22:30:46.519
2456154.88373 |    1.26824 | 2456206.69778 |    0.96056 |       15 August 2012 09:12:33.90 +/-    1 days  6:26:15.825  |      6 October 2012 04:44:47.88 +/-    0 days 23:03:12.507
2456274.17707 |    1.27088 | 2456325.99112 |    0.98334 |     12 December 2012 16:14:59.05 +/-    1 days  6:30: 4.234  |     2 February 2013 11:47:13.03 +/-    0 days 23:36: 0.147
2456393.47042 |    1.27389 | 2456445.28447 |    1.00596 |        10 April 2013 23:17:24.20 +/-    1 days  6:34:23.856  |         1 June 2013 18:49:38.18 +/-    1 days  0:08:34.761
2456512.76377 |    1.27728 | 2456564.57782 |    1.02904 |        8 August 2013 06:19:49.35 +/-    1 days  6:39:16.690  |   29 September 2013 01:52:03.33 +/-    1 days  0:41:49.388
2456632.05711 |    1.28110 | 2456683.87116 |    1.05225 |      5 December 2013 13:22:14.50 +/-    1 days  6:44:47.367  |     26 January 2014 08:54:28.48 +/-    1 days  1:15:14.451
2456751.35046 |    1.28513 | 2456803.16451 |    1.07546 |         3 April 2014 20:24:39.65 +/-    1 days  6:50:35.641  |         25 May 2014 15:56:53.64 +/-    1 days  1:48:39.660
2456870.64381 |    1.28998 | 2456922.45786 |    1.09894 |        1 August 2014 03:27:04.81 +/-    1 days  6:57:34.060  |   21 September 2014 22:59:18.79 +/-    1 days  2:22:28.831
2456989.93715 |    1.29606 | 2457041.75120 |    1.12280 |     28 November 2014 10:29:29.96 +/-    1 days  7:06:19.510  |     19 January 2015 06:01:43.94 +/-    1 days  2:56:50.036
2457109.23050 |    1.30167 | 2457161.04455 |    1.14680 |        27 March 2015 17:31:55.11 +/-    1 days  7:14:24.528  |         18 May 2015 13:04:09.09 +/-    1 days  3:31:23.508
2457228.52385 |    1.30836 | 2457280.33790 |    1.17091 |         25 July 2015 00:34:20.26 +/-    1 days  7:24: 2.476  |   14 September 2015 20:06:34.24 +/-    1 days  4:06: 6.665
2457347.81719 |    1.31515 | 2457399.63124 |    1.19474 |     21 November 2015 07:36:45.41 +/-    1 days  7:33:48.561  |     12 January 2016 03:08:59.39 +/-    1 days  4:40:25.781
2457467.11054 |    1.32251 | 2457518.92459 |    1.21840 |        19 March 2016 14:39:10.56 +/-    1 days  7:44:24.797  |         10 May 2016 10:11:24.55 +/-    1 days  5:14:29.696
2457586.40389 |    1.33038 | 2457638.21794 |    1.24239 |         16 July 2016 21:41:35.71 +/-    1 days  7:55:44.497  |    6 September 2016 17:13:49.70 +/-    1 days  5:49: 2.487
2457705.69723 |    1.33900 | 2457757.51128 |    1.26657 |     13 November 2016 04:44:00.87 +/-    1 days  8:08: 9.833  |      4 January 2017 00:16:14.85 +/-    1 days  6:23:51.929
