#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 73256 b | 2456368.5190 | 2.54755 | 0.00022 | 12499.88 | 0.23 | 0.41 | 0.33 | 258 | 64 | 280 | 240 | -33 | 89 | 0.0 | 0.0 |   12499.7251
#RA | DEC | T14 | UT14 | V
08 36 23.137 | -30 02 16.03 |          -NaN |       0.00000 |       8.08000
#Ephemerides calculated on: Thu Mar 14 15:45:12 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456368.51901 |    0.60086 | 2456369.64263 |    0.27176 |        17 March 2013 00:27:22.64 +/-    0 days 14:25:14.380  |       18 March 2013 03:25:23.46 +/-    0 days  6:31:20.039
2456371.06656 |    0.60081 | 2456372.19018 |    0.27191 |        19 March 2013 13:35:51.10 +/-    0 days 14:25:10.281  |       20 March 2013 16:33:51.91 +/-    0 days  6:31:32.892
2456373.61412 |    0.60079 | 2456374.73774 |    0.27206 |        22 March 2013 02:44:19.55 +/-    0 days 14:25: 8.167  |       23 March 2013 05:42:20.37 +/-    0 days  6:31:45.748
2456376.16167 |    0.60077 | 2456377.28529 |    0.27221 |        24 March 2013 15:52:48.00 +/-    0 days 14:25: 6.446  |       25 March 2013 18:50:48.82 +/-    0 days  6:31:58.609
2456378.70922 |    0.60075 | 2456379.83284 |    0.27236 |        27 March 2013 05:01:16.46 +/-    0 days 14:25: 4.727  |       28 March 2013 07:59:17.27 +/-    0 days  6:32:11.474
2456381.25677 |    0.60073 | 2456382.38039 |    0.27250 |        29 March 2013 18:09:44.91 +/-    0 days 14:25: 3.012  |       30 March 2013 21:07:45.73 +/-    0 days  6:32:24.344
2456383.80432 |    0.60071 | 2456384.92794 |    0.27265 |         1 April 2013 07:18:13.36 +/-    0 days 14:25: 1.301  |        2 April 2013 10:16:14.18 +/-    0 days  6:32:37.227
2456386.35187 |    0.60069 | 2456387.47549 |    0.27280 |         3 April 2013 20:26:41.82 +/-    0 days 14:24:59.593  |        4 April 2013 23:24:42.63 +/-    0 days  6:32:50.112
2456388.89942 |    0.60067 | 2456390.02304 |    0.27295 |         6 April 2013 09:35:10.27 +/-    0 days 14:24:58.313  |        7 April 2013 12:33:11.09 +/-    0 days  6:33: 2.996
2456391.44698 |    0.60066 | 2456392.57060 |    0.27310 |         8 April 2013 22:43:38.72 +/-    0 days 14:24:57.056  |       10 April 2013 01:41:39.54 +/-    0 days  6:33:15.882
2456393.99453 |    0.60064 | 2456395.11815 |    0.27325 |        11 April 2013 11:52:07.18 +/-    0 days 14:24:55.217  |       12 April 2013 14:50:07.99 +/-    0 days  6:33:28.768
2456396.54208 |    0.60061 | 2456397.66570 |    0.27339 |        14 April 2013 01:00:35.63 +/-    0 days 14:24:53.040  |       15 April 2013 03:58:36.45 +/-    0 days  6:33:40.881
2456399.08963 |    0.60059 | 2456400.21325 |    0.27352 |        16 April 2013 14:09:04.09 +/-    0 days 14:24:50.871  |       17 April 2013 17:07:04.90 +/-    0 days  6:33:52.117
2456401.63718 |    0.60056 | 2456402.76080 |    0.27366 |        19 April 2013 03:17:32.54 +/-    0 days 14:24:48.709  |       20 April 2013 06:15:33.36 +/-    0 days  6:34: 4.084
2456404.18473 |    0.60054 | 2456405.30835 |    0.27381 |        21 April 2013 16:26:00.99 +/-    0 days 14:24:46.554  |       22 April 2013 19:24:01.81 +/-    0 days  6:34:16.909
2456406.73229 |    0.60051 | 2456407.85591 |    0.27396 |        24 April 2013 05:34:29.45 +/-    0 days 14:24:44.407  |       25 April 2013 08:32:30.26 +/-    0 days  6:34:29.739
2456409.27984 |    0.60049 | 2456410.40346 |    0.27410 |        26 April 2013 18:42:57.90 +/-    0 days 14:24:42.268  |       27 April 2013 21:40:58.72 +/-    0 days  6:34:42.569
