#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
HD 90156 b | 2456364.0924 | 49.711 | 0.033 | 14774.3 | 1.6 | 0.294 | 0.058 | 104 | 13 | 3.40 | 0.22 | 27.74 | 0.16 | 0.0 | 0.0 |   14794.3786
#RA | DEC | T14 | UT14 | V
10 23 55.300 | -29 38 44.78 |           NaN |           NaN |       6.92000
#Ephemerides calculated on: Mon Feb 11 20:15:55 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456364.09237 |    1.28352 | 2456386.58525 |    2.08295 |        12 March 2013 14:13:00.54 +/-    1 days  6:48:16.009  |        4 April 2013 02:02:45.30 +/-    2 days  1:59:27.166
2456413.80368 |    1.31148 | 2456436.29656 |    2.10409 |           1 May 2013 07:17:18.19 +/-    1 days  7:28:31.871  |         23 May 2013 19:07:02.95 +/-    2 days  2:29:53.139
2456463.51500 |    1.33964 | 2456486.00788 |    2.12515 |         20 June 2013 00:21:35.84 +/-    1 days  8:09: 4.770  |        12 July 2013 12:11:20.60 +/-    2 days  3:00:13.355
2456513.22631 |    1.36825 | 2456535.71919 |    2.14624 |        8 August 2013 17:25:53.49 +/-    1 days  8:50:16.376  |      31 August 2013 05:15:38.25 +/-    2 days  3:30:35.168
2456562.93763 |    1.39677 | 2456585.43051 |    2.16783 |    27 September 2013 10:30:11.13 +/-    1 days  9:31:20.606  |     19 October 2013 22:19:55.89 +/-    2 days  4:01:40.289
2456612.64894 |    1.42534 | 2456635.14182 |    2.18942 |     16 November 2013 03:34:28.78 +/-    1 days 10:12:29.643  |     8 December 2013 15:24:13.54 +/-    2 days  4:32:46.228
2456662.36026 |    1.45401 | 2456684.85314 |    2.21159 |       4 January 2014 20:38:46.43 +/-    1 days 10:53:46.593  |     27 January 2014 08:28:31.19 +/-    2 days  5:04:41.800
2456712.07157 |    1.48290 | 2456734.56445 |    2.23403 |     23 February 2014 13:43:04.07 +/-    1 days 11:35:22.887  |       18 March 2014 01:32:48.83 +/-    2 days  5:37: 0.340
2456761.78289 |    1.51180 | 2456784.27577 |    2.25676 |        14 April 2014 06:47:21.72 +/-    1 days 12:16:59.726  |          6 May 2014 18:37:06.48 +/-    2 days  6:09:44.293
2456811.49421 |    1.54135 | 2456833.98708 |    2.28038 |          2 June 2014 23:51:39.37 +/-    1 days 12:59:32.840  |        25 June 2014 11:41:24.13 +/-    2 days  6:43:44.917
2456861.20552 |    1.57072 | 2456883.69840 |    2.30343 |         22 July 2014 16:55:57.01 +/-    1 days 13:41:50.139  |      14 August 2014 04:45:41.77 +/-    2 days  7:16:56.367
