#Planetname | Best Tc | PER[day] | UPER | Tp[JD-2440000] | UTp | e | Ue | OM[deg] | UOM | K[m/s] | UK | gamma[m/s] | Ugamma | dv/dt[m/s/day] | Udv/dt | seTp[JD-2440000]
rho CrB b | 2456356.8461 | 39.8466 | 0.0094 | 10563.4 | 3.1 | 0.060 | 0.026 | 304 | 28 | 65.1 | 1.9 | 0.1 | 1.2 | 0.0 | 0.0 |   10559.9275
#RA | DEC | T14 | UT14 | V
16 01 02.799 | +33 18 19.40 |           NaN |       0.00000 |       5.39000
#Ephemerides calculated on: Tue Feb 12 18:05:03 2013
#Transit date in JD | Uncertainty | Secondary Eclipse in JD | Uncertainty | Transit date and uncertainty in Gregorian | Secondary Eclipse and uncertainty in Gregorian
2456356.84612 |    1.18260 | 2456377.62704 |    1.47044 |         5 March 2013 08:18:24.42 +/-    1 days  4:22:56.337  |       26 March 2013 03:02:56.66 +/-    1 days 11:17:26.225
2456396.69276 |    1.19157 | 2456417.47369 |    1.47944 |        14 April 2013 04:37:34.52 +/-    1 days  4:35:51.969  |          4 May 2013 23:22:06.76 +/-    1 days 11:30:23.446
2456436.53941 |    1.20059 | 2456457.32033 |    1.48836 |          24 May 2013 00:56:44.62 +/-    1 days  4:48:51.129  |        13 June 2013 19:41:16.86 +/-    1 days 11:43:14.106
2456476.38605 |    1.20956 | 2456497.16698 |    1.49728 |          2 July 2013 21:15:54.72 +/-    1 days  5:01:46.046  |        23 July 2013 16:00:26.96 +/-    1 days 11:56: 5.021
2456516.23269 |    1.21855 | 2456537.01362 |    1.50622 |       11 August 2013 17:35:04.83 +/-    1 days  5:14:43.108  |    1 September 2013 12:19:37.06 +/-    1 days 12:08:57.273
2456556.07934 |    1.22758 | 2456576.86027 |    1.51521 |    20 September 2013 13:54:14.93 +/-    1 days  5:27:42.615  |     11 October 2013 08:38:47.16 +/-    1 days 12:21:54.039
2456595.92598 |    1.23664 | 2456616.70691 |    1.52421 |      30 October 2013 10:13:25.03 +/-    1 days  5:40:45.373  |    20 November 2013 04:57:57.26 +/-    1 days 12:34:51.837
2456635.77263 |    1.24570 | 2456656.55356 |    1.53311 |      9 December 2013 06:32:35.13 +/-    1 days  5:53:48.550  |    30 December 2013 01:17:07.36 +/-    1 days 12:47:40.945
2456675.61927 |    1.25476 | 2456696.40020 |    1.54206 |      18 January 2014 02:51:45.23 +/-    1 days  6:06:51.312  |     7 February 2014 21:36:17.47 +/-    1 days 13:00:33.670
2456715.46592 |    1.26383 | 2456736.24685 |    1.55111 |     26 February 2014 23:10:55.33 +/-    1 days  6:19:54.968  |       19 March 2014 17:55:27.57 +/-    1 days 13:13:35.724
